term	category	first_tier	first_source
coughing	SYMPTOM	1a	1a:primock57
swelling	CONDITION	1a	1a:primock57
stopping	DRUG	1a	1a:primock57
examined	FINDING	1a	1a:primock57
swollen	FINDING	1a	1a:primock57
aspirin	DRUG	1a	1a:primock57
running	FINDING	1a	1a:primock57
walking	FINDING	1a	1a:primock57
helped	FINDING	1a	1a:primock57
ankles	ANATOMY	1a	1a:primock57
angina	FINDING	1a	1a:primock57
rather	FINDING	1a	1a:primock57
anemia	CONDITION	1a	1a:primock57
kidney	ANATOMY	1a	1a:primock57
found	FINDING	1a	1a:primock57
swell	FINDING	1a	1a:primock57
drugs	PROCEDURE	1a	1a:primock57
heart	CONDITION	1a	1a:primock57
lives	FINDING	1a	1a:primock57
shop	CONDITION	1a	1a:primock57
scan	PROCEDURE	1a	1a:primock57
sit	FINDING	1a	1a:primock57
mmm	CONDITION	1a	1a:primock57
diuretic	DRUG	1a	1a:primock57
increased	FINDING	1a	1a:primock57
foot right	ANATOMY	1a	1a:primock57
feeling hot and cold	SYMPTOM	1a	1a:primock57
symptoms nausea	SYMPTOM	1a	1a:primock57
not feeling great	SYMPTOM	1a	1a:primock57
chest infection	CONDITION	1a	1a:primock57
very difficult	FINDING	1a	1a:primock57
cough cold	DRUG	1a	1a:primock57
sore throats	SYMPTOM	1a	1a:primock57
blocked ears	FINDING	1a	1a:primock57
joint pains	SYMPTOM	1a	1a:primock57
pretty good	FINDING	1a	1a:primock57
heart lungs	ANATOMY	1a	1a:primock57
lisinopril	DRUG	1a	1a:primock57
very well	FINDING	1a	1a:primock57
nightmare	CONDITION	1a	1a:primock57
diarrhoea	SYMPTOM	1a	1a:primock57
stiffness	SYMPTOM	1a	1a:primock57
sniffles	FINDING	1a	1a:primock57
ear pain	FINDING	1a	1a:primock57
shouting	FINDING	1a	1a:primock57
division	PROCEDURE	1a	1a:primock57
dullness	FINDING	1a	1a:primock57
forehead	ANATOMY	1a	1a:primock57
too much	FINDING	1a	1a:primock57
hearing	FINDING	1a	1a:primock57
bending	CONDITION	1a	1a:primock57
teacher	FINDING	1a	1a:primock57
primary	PROCEDURE	1a	1a:primock57
correct	DRUG	1a	1a:primock57
cutting	PROCEDURE	1a	1a:primock57
hoarse	SYMPTOM	1a	1a:primock57
bloody	FINDING	1a	1a:primock57
remind	PROCEDURE	1a	1a:primock57
either	FINDING	1a	1a:primock57
shave	FINDING	1a	1a:primock57
knees	ANATOMY	1a	1a:primock57
stiff	SYMPTOM	1a	1a:primock57
water	PROCEDURE	1a	1a:primock57
cold	PROCEDURE	1a	1a:primock57
feed	PROCEDURE	1a	1a:primock57
easy	FINDING	1a	1a:primock57
pass	FINDING	1a	1a:primock57
wee	CONDITION	1a	1a:primock57
top	PROCEDURE	1a	1a:primock57
fit	FINDING	1a	1a:primock57
doc	DRUG	1a	1a:primock57
cut	ANATOMY	1a	1a:primock57
wine spirit	DRUG	1a	1a:primock57
metforming	DRUG	1a	1a:primock57
nd clear	DRUG	1a	1a:primock57
amoxicillinan	DRUG	1a	1a:primock57
ehealth	PROCEDURE	1a	1a:primock57
first fill	PROCEDURE	1a	1a:primock57
allergies medication	CONDITION	1a	1a:primock57
lactose intolerant	CONDITION	1a	1a:primock57
currently taking	FINDING	1a	1a:primock57
contraceptive	DRUG	1a	1a:primock57
inflammation	CONDITION	1a	1a:primock57
feel tired	FINDING	1a	1a:primock57
dermatitis	CONDITION	1a	1a:primock57
itchy rash	CONDITION	1a	1a:primock57
condition	CONDITION	1a	1a:primock57
swimming	FINDING	1a	1a:primock57
hayfever	CONDITION	1a	1a:primock57
coconut	DRUG	1a	1a:primock57
suffers	CONDITION	1a	1a:primock57
suffer	CONDITION	1a	1a:primock57
smoker	FINDING	1a	1a:primock57
itha	ANATOMY	1a	1a:primock57
legs	ANATOMY	1a	1a:primock57
itch	SYMPTOM	1a	1a:primock57
red	FINDING	1a	1a:primock57
pleased	FINDING	1a	1a:primock57
barrier contraception	PROCEDURE	1a	1a:primock57
infection bladder	CONDITION	1a	1a:primock57
severe allergy	FINDING	1a	1a:primock57
nitrofurantoin	DRUG	1a	1a:primock57
urinary tract	ANATOMY	1a	1a:primock57
bicarbonate	PROCEDURE	1a	1a:primock57
clindamycin	DRUG	1a	1a:primock57
unbearable	FINDING	1a	1a:primock57
feeling ok	SYMPTOM	1a	1a:primock57
having sex	FINDING	1a	1a:primock57
back pain	SYMPTOM	1a	1a:primock57
your age	FINDING	1a	1a:primock57
cramping	SYMPTOM	1a	1a:primock57
kidneys	ANATOMY	1a	1a:primock57
bladder	CONDITION	1a	1a:primock57
crampy	CONDITION	1a	1a:primock57
write	FINDING	1a	1a:primock57
flank	ANATOMY	1a	1a:primock57
bowel	ANATOMY	1a	1a:primock57
flush	SYMPTOM	1a	1a:primock57
guts	ANATOMY	1a	1a:primock57
mrs	PROCEDURE	1a	1a:primock57
ibs	CONDITION	1a	1a:primock57
uti	CONDITION	1a	1a:primock57
others	DRUG	1a	1a:primock57
helpin	DRUG	1a	1a:primock57
simplex	ANATOMY	1a	1a:primock57
no new symptoms	SYMPTOM	1a	1a:primock57
bladder infection	CONDITION	1a	1a:primock57
and back pain	SYMPTOM	1a	1a:primock57
completely agree	FINDING	1a	1a:primock57
discolouration	FINDING	1a	1a:primock57
period pain	CONDITION	1a	1a:primock57
aching pain	SYMPTOM	1a	1a:primock57
admitted	PROCEDURE	1a	1a:primock57
cystitis	CONDITION	1a	1a:primock57
positive	FINDING	1a	1a:primock57
passage	PROCEDURE	1a	1a:primock57
advice	FINDING	1a	1a:primock57
cramps	SYMPTOM	1a	1a:primock57
frank	CONDITION	1a	1a:primock57
halls	DRUG	1a	1a:primock57
joint	FINDING	1a	1a:primock57
weed	CONDITION	1a	1a:primock57
result	FINDING	1a	1a:primock57
2. very good	FINDING	1a	1a:primock57
normal temperature	FINDING	1a	1a:primock57
fluid replacement	PROCEDURE	1a	1a:primock57
watery stools	SYMPTOM	1a	1a:primock57
colon cancer	CONDITION	1a	1a:primock57
dehydrated	CONDITION	1a	1a:primock57
mild pain	FINDING	1a	1a:primock57
soft diet	PROCEDURE	1a	1a:primock57
central	DRUG	1a	1a:primock57
weight	SYMPTOM	1a	1a:primock57
colon	CONDITION	1a	1a:primock57
mouth	ANATOMY	1a	1a:primock57
speak	FINDING	1a	1a:primock57
steps	PROCEDURE	1a	1a:primock57
catch	SYMPTOM	1a	1a:primock57
carry	FINDING	1a	1a:primock57
anus	CONDITION	1a	1a:primock57
dan	DRUG	1a	1a:primock57
drink too much	CONDITION	1a	1a:primock57
stools loose	SYMPTOM	1a	1a:primock57
muscle pains	SYMPTOM	1a	1a:primock57
bowel cancer	CONDITION	1a	1a:primock57
very often	FINDING	1a	1a:primock57
suffering	CONDITION	1a	1a:primock57
very bad	FINDING	1a	1a:primock57
warm	FINDING	1a	1a:primock57
blue	FINDING	1a	1a:primock57
unemployment	FINDING	1a	1a:primock57
drink drive	CONDITION	1a	1a:primock57
no, not really	FINDING	1a	1a:primock57
robert sign	SYMPTOM	1a	1a:primock57
no difficulty	FINDING	1a	1a:primock57
anti-inflammatory	DRUG	1a	1a:primock57
loss of vision	CONDITION	1a	1a:primock57
neck stiffness	SYMPTOM	1a	1a:primock57
i didn't drink	FINDING	1a	1a:primock57
blurry vision	FINDING	1a	1a:primock57
controlling	FINDING	1a	1a:primock57
right eye	PROCEDURE	1a	1a:primock57
feel sick	SYMPTOM	1a	1a:primock57
very rare	FINDING	1a	1a:primock57
analgesia	CONDITION	1a	1a:primock57
shooting	FINDING	1a	1a:primock57
resolved	CONDITION	1a	1a:primock57
anxious	CONDITION	1a	1a:primock57
codeine	DRUG	1a	1a:primock57
dull	SYMPTOM	1a	1a:primock57
eye	CONDITION	1a	1a:primock57
add	CONDITION	1a	1a:primock57
swearing	FINDING	1a	1a:primock57
genetics	PROCEDURE	1a	1a:primock57
reduced	FINDING	1a	1a:primock57
bmp or similar	FINDING	1a	1a:primock57
right greater horn	ANATOMY	1a	1a:primock57
taking medication	FINDING	1a	1a:primock57
source of infection	FINDING	1a	1a:primock57
cold symptoms	CONDITION	1a	1a:primock57
feel restless	SYMPTOM	1a	1a:primock57
feeling tired	FINDING	1a	1a:primock57
ears pain	SYMPTOM	1a	1a:primock57
partner well	FINDING	1a	1a:primock57
infectious	CONDITION	1a	1a:primock57
shivering	FINDING	1a	1a:primock57
bed rest	PROCEDURE	1a	1a:primock57
shivers	FINDING	1a	1a:primock57
totally	FINDING	1a	1a:primock57
muscles	ANATOMY	1a	1a:primock57
skipped	FINDING	1a	1a:primock57
chills	SYMPTOM	1a	1a:primock57
muscle	ANATOMY	1a	1a:primock57
active	DRUG	1a	1a:primock57
immune	FINDING	1a	1a:primock57
field	PROCEDURE	1a	1a:primock57
drunk	CONDITION	1a	1a:primock57
date	DRUG	1a	1a:primock57
contact dermatitis	CONDITION	1a	1a:primock57
eczema dermatitis	CONDITION	1a	1a:primock57
changed jobs	FINDING	1a	1a:primock57
wear gloves	PROCEDURE	1a	1a:primock57
all clear	DRUG	1a	1a:primock57
soreness	SYMPTOM	1a	1a:primock57
grinding	PROCEDURE	1a	1a:primock57
cleaning	FINDING	1a	1a:primock57
hydrate	DRUG	1a	1a:primock57
finger	ANATOMY	1a	1a:primock57
major	FINDING	1a	1a:primock57
palm	ANATOMY	1a	1a:primock57
no palpitations	FINDING	1a	1a:primock57
difficulty hearing	FINDING	1a	1a:primock57
ringing in ear	CONDITION	1a	1a:primock57
hearing problem	CONDITION	1a	1a:primock57
deteriorating	FINDING	1a	1a:primock57
room spinning	SYMPTOM	1a	1a:primock57
impacted wax	FINDING	1a	1a:primock57
double check	DRUG	1a	1a:primock57
right ear	ANATOMY	1a	1a:primock57
left ear	ANATOMY	1a	1a:primock57
blocking	CONDITION	1a	1a:primock57
ear drum	ANATOMY	1a	1a:primock57
physical	PROCEDURE	1a	1a:primock57
blockage	FINDING	1a	1a:primock57
tinnitus	CONDITION	1a	1a:primock57
eardrum	ANATOMY	1a	1a:primock57
cotton	DRUG	1a	1a:primock57
pushes	FINDING	1a	1a:primock57
dizzy	SYMPTOM	1a	1a:primock57
mesa	PROCEDURE	1a	1a:primock57
lead	DRUG	1a	1a:primock57
fast	FINDING	1a	1a:primock57
wide	FINDING	1a	1a:primock57
link	DRUG	1a	1a:primock57
ear	CONDITION	1a	1a:primock57
gps	CONDITION	1a	1a:primock57
syringin	DRUG	1a	1a:primock57
rheumatoid arthritis	CONDITION	1a	1a:primock57
septic arthritis	CONDITION	1a	1a:primock57
osteoarthritis	CONDITION	1a	1a:primock57
joint swelling	FINDING	1a	1a:primock57
infected joint	CONDITION	1a	1a:primock57
right elbow	ANATOMY	1a	1a:primock57
left elbow	ANATOMY	1a	1a:primock57
assessment	PROCEDURE	1a	1a:primock57
confirmed	FINDING	1a	1a:primock57
illnesses	SYMPTOM	1a	1a:primock57
treatment	PROCEDURE	1a	1a:primock57
heartburn	CONDITION	1a	1a:primock57
diseases	CONDITION	1a	1a:primock57
bursitis	CONDITION	1a	1a:primock57
peanuts	DRUG	1a	1a:primock57
mobile	FINDING	1a	1a:primock57
worsen	FINDING	1a	1a:primock57
elbow	ANATOMY	1a	1a:primock57
lupus	CONDITION	1a	1a:primock57
nerve	ANATOMY	1a	1a:primock57
sacs	CONDITION	1a	1a:primock57
gout	CONDITION	1a	1a:primock57
tip	PROCEDURE	1a	1a:primock57
die	ANATOMY	1a	1a:primock57
know right	FINDING	1a	1a:primock57
not cased	FINDING	1a	1a:primock57
neurological examination	PROCEDURE	1a	1a:primock57
difficulty swallowing	CONDITION	1a	1a:primock57
physical examination	FINDING	1a	1a:primock57
difficulty speaking	FINDING	1a	1a:primock57
neurofibromatosis	CONDITION	1a	1a:primock57
pain in ear	SYMPTOM	1a	1a:primock57
labyrinthitis	CONDITION	1a	1a:primock57
bell's palsy	CONDITION	1a	1a:primock57
no pets	FINDING	1a	1a:primock57
one thing	FINDING	1a	1a:primock57
present	FINDING	1a	1a:primock57
playing	FINDING	1a	1a:primock57
rennie	DRUG	1a	1a:primock57
portal	ANATOMY	1a	1a:primock57
latex	PROCEDURE	1a	1a:primock57
panic	FINDING	1a	1a:primock57
examination finding	FINDING	1a	1a:primock57
coughing up blood	SYMPTOM	1a	1a:primock57
chest infections	CONDITION	1a	1a:primock57
enlarged glands	SYMPTOM	1a	1a:primock57
slight fever	SYMPTOM	1a	1a:primock57
methotrexate	PROCEDURE	1a	1a:primock57
adam's apple	ANATOMY	1a	1a:primock57
heart racing	FINDING	1a	1a:primock57
deep breath	SYMPTOM	1a	1a:primock57
blood clots	CONDITION	1a	1a:primock57
lung cancer	CONDITION	1a	1a:primock57
chest x-ray	PROCEDURE	1a	1a:primock57
heart rate	FINDING	1a	1a:primock57
red colour	FINDING	1a	1a:primock57
mouth open	FINDING	1a	1a:primock57
parameters	FINDING	1a	1a:primock57
tiredness	SYMPTOM	1a	1a:primock57
head back	ANATOMY	1a	1a:primock57
examining	FINDING	1a	1a:primock57
unstable	FINDING	1a	1a:primock57
catches	FINDING	1a	1a:primock57
slight	FINDING	1a	1a:primock57
wrist	ANATOMY	1a	1a:primock57
thumb	ANATOMY	1a	1a:primock57
clots	CONDITION	1a	1a:primock57
pale	CONDITION	1a	1a:primock57
lung	CONDITION	1a	1a:primock57
cat	PROCEDURE	1a	1a:primock57
sle	PROCEDURE	1a	1a:primock57
pneumonias	CONDITION	1a	1a:primock57
ultrasound of carotid arteries	PROCEDURE	1a	1a:primock57
transient ischemic attacks	CONDITION	1a	1a:primock57
pins and needles	SYMPTOM	1a	1a:primock57
vision problems	FINDING	1a	1a:primock57
visual problems	FINDING	1a	1a:primock57
surgery plastic	PROCEDURE	1a	1a:primock57
abnormal gait	FINDING	1a	1a:primock57
living alone	FINDING	1a	1a:primock57
cholesterol	PROCEDURE	1a	1a:primock57
mini-stroke	CONDITION	1a	1a:primock57
very tired	FINDING	1a	1a:primock57
right hand	ANATOMY	1a	1a:primock57
sensation	FINDING	1a	1a:primock57
referral	PROCEDURE	1a	1a:primock57
tomorrow	DRUG	1a	1a:primock57
strokes	CONDITION	1a	1a:primock57
surgery	FINDING	1a	1a:primock57
illness	FINDING	1a	1a:primock57
stroke	CONDITION	1a	1a:primock57
bleed	CONDITION	1a	1a:primock57
park	CONDITION	1a	1a:primock57
tias	CONDITION	1a	1a:primock57
pals	CONDITION	1a	1a:primock57
leg	ANATOMY	1a	1a:primock57
cup	CONDITION	1a	1a:primock57
tia	CONDITION	1a	1a:primock57
penicillins	CONDITION	1a	1a:primock57
acute allergic reaction	CONDITION	1a	1a:primock57
history of anaphylaxis	FINDING	1a	1a:primock57
anaphylactic reactions	CONDITION	1a	1a:primock57
inflammatory reaction	CONDITION	1a	1a:primock57
swelling of lips	SYMPTOM	1a	1a:primock57
localised infection	CONDITION	1a	1a:primock57
signs and symptoms	SYMPTOM	1a	1a:primock57
allergic reaction	CONDITION	1a	1a:primock57
allergy testing	FINDING	1a	1a:primock57
feeling worried	SYMPTOM	1a	1a:primock57
food allergies	CONDITION	1a	1a:primock57
chlorphenamine	DRUG	1a	1a:primock57
ask questions	FINDING	1a	1a:primock57
panic attacks	CONDITION	1a	1a:primock57
blood testing	PROCEDURE	1a	1a:primock57
deteriorates	FINDING	1a	1a:primock57
appearance	PROCEDURE	1a	1a:primock57
feels hot	FINDING	1a	1a:primock57
