term	category	first_tier	first_source
pains	SYMPTOM	1b	1b:figshare-osce
malaise	SYMPTOM	1b	1b:figshare-osce
pain radiating	SYMPTOM	1b	1b:figshare-osce
elbow pain	SYMPTOM	1b	1b:figshare-osce
numbness and tingling	SYMPTOM	1b	1b:figshare-osce
chills fevers	SYMPTOM	1b	1b:figshare-osce
fainting spells	SYMPTOM	1b	1b:figshare-osce
sciatica	SYMPTOM	1b	1b:figshare-osce
lightheadedness	SYMPTOM	1b	1b:figshare-osce
eye discharge	SYMPTOM	1b	1b:figshare-osce
sensory change	SYMPTOM	1b	1b:figshare-osce
muscles pain	SYMPTOM	1b	1b:figshare-osce
tendon pain	SYMPTOM	1b	1b:figshare-osce
pain in calf	SYMPTOM	1b	1b:figshare-osce
knee pain	SYMPTOM	1b	1b:figshare-osce
fainting	SYMPTOM	1b	1b:figshare-osce
pantalgia	SYMPTOM	1b	1b:figshare-osce
leg pain	SYMPTOM	1b	1b:figshare-osce
altered sensation	SYMPTOM	1b	1b:figshare-osce
shoulder pain	SYMPTOM	1b	1b:figshare-osce
pins and needles sensation	SYMPTOM	1b	1b:figshare-osce
sore to touch	SYMPTOM	1b	1b:figshare-osce
fever chills	SYMPTOM	1b	1b:figshare-osce
burning sensation	SYMPTOM	1b	1b:figshare-osce
clumsiness	SYMPTOM	1b	1b:figshare-osce
burning sensations	SYMPTOM	1b	1b:figshare-osce
painful joints	SYMPTOM	1b	1b:figshare-osce
warm to touch	SYMPTOM	1b	1b:figshare-osce
body pains	SYMPTOM	1b	1b:figshare-osce
elevated temperature	SYMPTOM	1b	1b:figshare-osce
clicking hips	SYMPTOM	1b	1b:figshare-osce
cough fever	SYMPTOM	1b	1b:figshare-osce
electric shock sensation	SYMPTOM	1b	1b:figshare-osce
pain in fingers	SYMPTOM	1b	1b:figshare-osce
shake	SYMPTOM	1b	1b:figshare-osce
mechanical back pain	SYMPTOM	1b	1b:figshare-osce
severe back pain	SYMPTOM	1b	1b:figshare-osce
muscle spasms	SYMPTOM	1b	1b:figshare-osce
hip pain	SYMPTOM	1b	1b:figshare-osce
painful joint	SYMPTOM	1b	1b:figshare-osce
weakness muscle	SYMPTOM	1b	1b:figshare-osce
loss of sensation	SYMPTOM	1b	1b:figshare-osce
spasms	SYMPTOM	1b	1b:figshare-osce
saddle anesthesia	SYMPTOM	1b	1b:figshare-osce
pain with urination	SYMPTOM	1b	1b:figshare-osce
pain in hand	SYMPTOM	1b	1b:figshare-osce
urinary symptoms	SYMPTOM	1b	1b:figshare-osce
sensory loss	SYMPTOM	1b	1b:figshare-osce
pain in neck	SYMPTOM	1b	1b:figshare-osce
neck symptoms	SYMPTOM	1b	1b:figshare-osce
upper extremity numbness	SYMPTOM	1b	1b:figshare-osce
ankle pain	SYMPTOM	1b	1b:figshare-osce
chronic back pain	SYMPTOM	1b	1b:figshare-osce
gi symptoms	SYMPTOM	1b	1b:figshare-osce
fainting episodes	SYMPTOM	1b	1b:figshare-osce
wind	SYMPTOM	1b	1b:figshare-osce
pain in left knee	SYMPTOM	1b	1b:figshare-osce
rest pain	SYMPTOM	1b	1b:figshare-osce
joints pain	SYMPTOM	1b	1b:figshare-osce
shortness of breath on exertion	SYMPTOM	1b	1b:figshare-osce
stuffy nose	SYMPTOM	1b	1b:figshare-osce
fussy	SYMPTOM	1b	1b:figshare-osce
fever cough	SYMPTOM	1b	1b:figshare-osce
body aches	SYMPTOM	1b	1b:figshare-osce
jaundice	SYMPTOM	1b	1b:figshare-osce
eyes red	SYMPTOM	1b	1b:figshare-osce
burning	SYMPTOM	1b	1b:figshare-osce
breathing difficulty	SYMPTOM	1b	1b:figshare-osce
hoarse voice	SYMPTOM	1b	1b:figshare-osce
general weakness	SYMPTOM	1b	1b:figshare-osce
gurgling	SYMPTOM	1b	1b:figshare-osce
shakes	SYMPTOM	1b	1b:figshare-osce
rigors	SYMPTOM	1b	1b:figshare-osce
time tired	SYMPTOM	1b	1b:figshare-osce
pleuritic chest pain	SYMPTOM	1b	1b:figshare-osce
not feeling well	SYMPTOM	1b	1b:figshare-osce
breathing deep	SYMPTOM	1b	1b:figshare-osce
feeling faint	SYMPTOM	1b	1b:figshare-osce
other symptom	SYMPTOM	1b	1b:figshare-osce
cough worse in morning	SYMPTOM	1b	1b:figshare-osce
respiratory symptoms	SYMPTOM	1b	1b:figshare-osce
muscle stiffness	SYMPTOM	1b	1b:figshare-osce
faint feeling	SYMPTOM	1b	1b:figshare-osce
loss of taste or smell	SYMPTOM	1b	1b:figshare-osce
vaginal discomfort	SYMPTOM	1b	1b:figshare-osce
pains muscle	SYMPTOM	1b	1b:figshare-osce
feeling terrible	SYMPTOM	1b	1b:figshare-osce
throat sore	SYMPTOM	1b	1b:figshare-osce
general symptoms	SYMPTOM	1b	1b:figshare-osce
scratchy throat	SYMPTOM	1b	1b:figshare-osce
exhausted	SYMPTOM	1b	1b:figshare-osce
headache associated with nausea	SYMPTOM	1b	1b:figshare-osce
headache worse	SYMPTOM	1b	1b:figshare-osce
blackout	SYMPTOM	1b	1b:figshare-osce
getting enough sleep	SYMPTOM	1b	1b:figshare-osce
chills fever	SYMPTOM	1b	1b:figshare-osce
muscular weakness	SYMPTOM	1b	1b:figshare-osce
smokers cough	SYMPTOM	1b	1b:figshare-osce
discharge from eye	SYMPTOM	1b	1b:figshare-osce
sharp chest pain	SYMPTOM	1b	1b:figshare-osce
chronic cough	SYMPTOM	1b	1b:figshare-osce
seizures	SYMPTOM	1b	1b:figshare-osce
blocked nose	SYMPTOM	1b	1b:figshare-osce
feeling weak	SYMPTOM	1b	1b:figshare-osce
neurological symptom	SYMPTOM	1b	1b:figshare-osce
wheezes	SYMPTOM	1b	1b:figshare-osce
cough dry	SYMPTOM	1b	1b:figshare-osce
vomiting in morning	SYMPTOM	1b	1b:figshare-osce
red eyes	SYMPTOM	1b	1b:figshare-osce
cough during day	SYMPTOM	1b	1b:figshare-osce
passing gas	SYMPTOM	1b	1b:figshare-osce
spells	SYMPTOM	1b	1b:figshare-osce
systemic symptoms	SYMPTOM	1b	1b:figshare-osce
crushing pain	SYMPTOM	1b	1b:figshare-osce
runny or stuffy nose	SYMPTOM	1b	1b:figshare-osce
multiple symptoms	SYMPTOM	1b	1b:figshare-osce
pain ear	SYMPTOM	1b	1b:figshare-osce
fatigue or tiredness	SYMPTOM	1b	1b:figshare-osce
problem swallowing	SYMPTOM	1b	1b:figshare-osce
heaving	SYMPTOM	1b	1b:figshare-osce
exhaustion	SYMPTOM	1b	1b:figshare-osce
loss of taste sense	SYMPTOM	1b	1b:figshare-osce
nose congestion	SYMPTOM	1b	1b:figshare-osce
discharge from nose	SYMPTOM	1b	1b:figshare-osce
mouth breather	SYMPTOM	1b	1b:figshare-osce
facial pain	SYMPTOM	1b	1b:figshare-osce
neck swelling	SYMPTOM	1b	1b:figshare-osce
nasal congestion	SYMPTOM	1b	1b:figshare-osce
nasal discharge	SYMPTOM	1b	1b:figshare-osce
bloody sputum	SYMPTOM	1b	1b:figshare-osce
chest pressure	SYMPTOM	1b	1b:figshare-osce
deep breathing	SYMPTOM	1b	1b:figshare-osce
abdominal pain nausea	SYMPTOM	1b	1b:figshare-osce
breathing chest pain	SYMPTOM	1b	1b:figshare-osce
nose discharge	SYMPTOM	1b	1b:figshare-osce
fatigue malaise	SYMPTOM	1b	1b:figshare-osce
throbbing pain	SYMPTOM	1b	1b:figshare-osce
stuffiness	SYMPTOM	1b	1b:figshare-osce
not breathing	SYMPTOM	1b	1b:figshare-osce
hoarseness of voice	SYMPTOM	1b	1b:figshare-osce
hemoptysis	SYMPTOM	1b	1b:figshare-osce
voice hoarseness	SYMPTOM	1b	1b:figshare-osce
discharge nasal	SYMPTOM	1b	1b:figshare-osce
post nasal drip	SYMPTOM	1b	1b:figshare-osce
pain urinary	SYMPTOM	1b	1b:figshare-osce
eyes runny	SYMPTOM	1b	1b:figshare-osce
body pain	SYMPTOM	1b	1b:figshare-osce
breath chest pain	SYMPTOM	1b	1b:figshare-osce
runny eyes	SYMPTOM	1b	1b:figshare-osce
chest pain on exertion	SYMPTOM	1b	1b:figshare-osce
shortness of breath increased	SYMPTOM	1b	1b:figshare-osce
nose itching	SYMPTOM	1b	1b:figshare-osce
sneezes	SYMPTOM	1b	1b:figshare-osce
sinus pressure	SYMPTOM	1b	1b:figshare-osce
chest pain at rest	SYMPTOM	1b	1b:figshare-osce
agitated	SYMPTOM	1b	1b:figshare-osce
ear ache	SYMPTOM	1b	1b:figshare-osce
feels bad	SYMPTOM	1b	1b:figshare-osce
pain stabbing	SYMPTOM	1b	1b:figshare-osce
rigidity	SYMPTOM	1b	1b:figshare-osce
fainting spell	SYMPTOM	1b	1b:figshare-osce
gasp	SYMPTOM	1b	1b:figshare-osce
coughing blood	SYMPTOM	1b	1b:figshare-osce
voice changed	SYMPTOM	1b	1b:figshare-osce
itchy nose	SYMPTOM	1b	1b:figshare-osce
new cough	SYMPTOM	1b	1b:figshare-osce
left leg pain	SYMPTOM	1b	1b:figshare-osce
skin rash	SYMPTOM	1b	1b:figshare-osce
red eye	SYMPTOM	1b	1b:figshare-osce
hoarseness	SYMPTOM	1b	1b:figshare-osce
chills and fever	SYMPTOM	1b	1b:figshare-osce
throat chest pain	SYMPTOM	1b	1b:figshare-osce
eyes itchy	SYMPTOM	1b	1b:figshare-osce
feel ill	SYMPTOM	1b	1b:figshare-osce
snoring	SYMPTOM	1b	1b:figshare-osce
snore	SYMPTOM	1b	1b:figshare-osce
nasal drainage	SYMPTOM	1b	1b:figshare-osce
nose runny	SYMPTOM	1b	1b:figshare-osce
bellyache	SYMPTOM	1b	1b:figshare-osce
breathing pain	SYMPTOM	1b	1b:figshare-osce
aches muscle	SYMPTOM	1b	1b:figshare-osce
nose runs	SYMPTOM	1b	1b:figshare-osce
thinning	SYMPTOM	1b	1b:figshare-osce
decreased appetite	SYMPTOM	1b	1b:figshare-osce
feeling jittery	SYMPTOM	1b	1b:figshare-osce
bone pain	SYMPTOM	1b	1b:figshare-osce
face pain	SYMPTOM	1b	1b:figshare-osce
gassiness	SYMPTOM	1b	1b:figshare-osce
exertional	SYMPTOM	1b	1b:figshare-osce
throat symptoms	SYMPTOM	1b	1b:figshare-osce
blood coughed	SYMPTOM	1b	1b:figshare-osce
pain pressure	SYMPTOM	1b	1b:figshare-osce
orthopnea	SYMPTOM	1b	1b:figshare-osce
nose pain	SYMPTOM	1b	1b:figshare-osce
fart	SYMPTOM	1b	1b:figshare-osce
other breathing problems	SYMPTOM	1b	1b:figshare-osce
constitutional symptoms	SYMPTOM	1b	1b:figshare-osce
pain tenderness	SYMPTOM	1b	1b:figshare-osce
stiff neck	SYMPTOM	1b	1b:figshare-osce
impending doom	SYMPTOM	1b	1b:figshare-osce
feeling ill	SYMPTOM	1b	1b:figshare-osce
hunger	SYMPTOM	1c	1c:nazmulkazi
binges	SYMPTOM	1c	1c:nazmulkazi
binge	SYMPTOM	1c	1c:nazmulkazi
spell	SYMPTOM	1c	1c:nazmulkazi
sob	SYMPTOM	1c	1c:nazmulkazi
gasping for breath	SYMPTOM	1c	1c:nazmulkazi
feeling bad	SYMPTOM	1c	1c:nazmulkazi
miserable	SYMPTOM	1c	1c:nazmulkazi
lethargy	SYMPTOM	1c	1c:nazmulkazi
flushing	SYMPTOM	1c	1c:nazmulkazi
despair	SYMPTOM	1c	1c:nazmulkazi
amotivation	SYMPTOM	1c	1c:nazmulkazi
charmed	SYMPTOM	1c	1c:nazmulkazi
stopped breathing	SYMPTOM	1c	1c:nazmulkazi
sensation of warmth	SYMPTOM	1c	1c:nazmulkazi
sleep difficulty	SYMPTOM	1c	1c:nazmulkazi
insomnia	SYMPTOM	1c	1c:nazmulkazi
yelling	SYMPTOM	1c	1c:nazmulkazi
circling	SYMPTOM	1c	1c:nazmulkazi
feel bad	SYMPTOM	1c	1c:nazmulkazi
flushes	SYMPTOM	1c	1c:nazmulkazi
wasting	SYMPTOM	1c	1c:nazmulkazi
chill	SYMPTOM	1c	1c:nazmulkazi
eye twitch	SYMPTOM	1c	1c:nazmulkazi
inconsiderate	SYMPTOM	1c	1c:nazmulkazi
strange feeling	SYMPTOM	1c	1c:nazmulkazi
physical symptoms	SYMPTOM	1c	1c:nazmulkazi
nervousness	SYMPTOM	1c	1c:nazmulkazi
feeling inadequate	SYMPTOM	1c	1c:nazmulkazi
buckled	SYMPTOM	1c	1c:nazmulkazi
seeing things	SYMPTOM	1c	1c:nazmulkazi
anxiety symptoms	SYMPTOM	1c	1c:nazmulkazi
feels awful	SYMPTOM	1c	1c:nazmulkazi
startle	SYMPTOM	1c	1c:nazmulkazi
fluctuations	SYMPTOM	1c	1c:nazmulkazi
vanity	SYMPTOM	1c	1c:nazmulkazi
feeling nervous	SYMPTOM	1c	1c:nazmulkazi
flustered	SYMPTOM	1c	1c:nazmulkazi
feeling exhausted	SYMPTOM	1c	1c:nazmulkazi
felt generally ill	SYMPTOM	1c	1c:nazmulkazi
see things	SYMPTOM	1c	1c:nazmulkazi
workaholic	SYMPTOM	1c	1c:nazmulkazi
ailment	SYMPTOM	1c	1c:nazmulkazi
winding	SYMPTOM	1c	1c:nazmulkazi
body ache	SYMPTOM	1e_eka	1e:eka
head pain	SYMPTOM	1e_eka	1e:eka
pain in throat	SYMPTOM	1e_eka	1e:eka
penile discharge	SYMPTOM	1e_eka	1e:eka
congested nose	SYMPTOM	1e_eka	1e:eka
plantar heel pain	SYMPTOM	1e_eka	1e:eka
burning feet	SYMPTOM	1e_eka	1e:eka
neuralgia	SYMPTOM	1e_eka	1e:eka
notalgia	SYMPTOM	1e_eka	1e:eka
giddiness	SYMPTOM	1e_eka	1e:eka
pain radiating to middle abdomen	SYMPTOM	1e_eka	1e:eka
rhinorrhoea	SYMPTOM	1e_eka	1e:eka
pain of right lower leg	SYMPTOM	1e_eka	1e:eka
restlessness	SYMPTOM	1e_eka	1e:eka
difficulty in voiding	SYMPTOM	1e_eka	1e:eka
right hip pain	SYMPTOM	1e_eka	1e:eka
asthenia	SYMPTOM	1e_eka	1e:eka
anorexia	SYMPTOM	1e_eka	1e:eka
mastalgia	SYMPTOM	1e_eka	1e:eka
pain in limb	SYMPTOM	1e_eka	1e:eka
swelling of feet	SYMPTOM	1e_eka	1e:eka
upper limb pain	SYMPTOM	1e_eka	1e:eka
pruritis	SYMPTOM	1e_eka	1e:eka
breast lump	SYMPTOM	1e_eka	1e:eka
nipple discharge	SYMPTOM	1e_eka	1e:eka
backache	SYMPTOM	1e_eka	1e:eka
myalgia	SYMPTOM	1e_eka	1e:eka
pain in forearm	SYMPTOM	1e_eka	1e:eka
painful defaecation	SYMPTOM	1e_eka	1e:eka
recurrent abdominal pain	SYMPTOM	1e_eka	1e:eka
dry throat	SYMPTOM	1e_eka	1e:eka
groin pain	SYMPTOM	1e_eka	1e:eka
light headedness	SYMPTOM	1e_eka	1e:eka
pain left foot	SYMPTOM	1e_eka	1e:eka
swallowing painful	SYMPTOM	1e_eka	1e:eka
strangury	SYMPTOM	1e_eka	1e:eka
chronic constipation	SYMPTOM	1e_eka	1e:eka
stomach cramps	SYMPTOM	1e_eka	1e:eka
pain in left leg	SYMPTOM	1e_eka	1e:eka
bilateral leg cramps	SYMPTOM	1e_eka	1e:eka
vulval itching	SYMPTOM	1e_eka	1e:eka
left shoulder joint pain	SYMPTOM	1e_eka	1e:eka
excessive growth of facial hair	SYMPTOM	1e_eka	1e:eka
pain in left shoulder	SYMPTOM	1e_eka	1e:eka
nasal itching	SYMPTOM	1e_eka	1e:eka
left sided chest pain	SYMPTOM	1e_eka	1e:eka
throat irritation	SYMPTOM	1e_eka	1e:eka
neuropathic pain	SYMPTOM	1e_eka	1e:eka
irritability and anger	SYMPTOM	1e_eka	1e:eka
stomach upset	SYMPTOM	1e_eka	1e:eka
pain in right knee	SYMPTOM	1e_eka	1e:eka
neck ache	SYMPTOM	1e_eka	1e:eka
leg swelling symptom	SYMPTOM	1e_eka	1e:eka
generalised body aches	SYMPTOM	1e_eka	1e:eka
right flank pain	SYMPTOM	1e_eka	1e:eka
generalized acute body aches	SYMPTOM	1e_eka	1e:eka
non productive cough	SYMPTOM	1e_eka	1e:eka
left iliac fossa pain	SYMPTOM	1e_eka	1e:eka
dyspnoea on exertion	SYMPTOM	1e_eka	1e:eka
dyspnoea	SYMPTOM	1e_eka	1e:eka
oral pain	SYMPTOM	1e_eka	1e:eka
hot flush	SYMPTOM	1e_eka	1e:eka
retrosternal chest pain	SYMPTOM	1e_eka	1e:eka
febrile	SYMPTOM	1e_eka	1e:eka
lumbago	SYMPTOM	1e_eka	1e:eka
loose motions	SYMPTOM	1e_eka	1e:eka
loose motion	SYMPTOM	1e_eka	1e:eka
cough persistent	SYMPTOM	1e_eka	1e:eka
titubation	SYMPTOM	1e_eka	1e:eka
eruption	SYMPTOM	1e_eka	1e:eka
cramp in calf	SYMPTOM	1e_eka	1e:eka
localised chest pain	SYMPTOM	1e_eka	1e:eka
hemiparesis	SYMPTOM	1e_eka	1e:eka
arm pain	SYMPTOM	1e_eka	1e:eka
bad taste in mouth	SYMPTOM	1e_eka	1e:eka
pain radiating to left leg	SYMPTOM	1e_eka	1e:eka
persistent cough	SYMPTOM	1e_eka	1e:eka
