term	category	first_tier	first_source
bright	FINDING	1a	1a:primock57
stress	FINDING	1a	1a:primock57
worry	FINDING	1a	1a:primock57
neck	FINDING	1a	1a:primock57
sign	FINDING	1a	1a:primock57
fall	FINDING	1a	1a:primock57
hope	FINDING	1a	1a:primock57
poor coordination	FINDING	1a	1a:primock57
nausea or vomiting	FINDING	1a	1a:primock57
one or two days	FINDING	1a	1a:primock57
social history	FINDING	1a	1a:primock57
well-hydrated	FINDING	1a	1a:primock57
kindergarten	FINDING	1a	1a:primock57
high fever	FINDING	1a	1a:primock57
abnormal	FINDING	1a	1a:primock57
blocked	FINDING	1a	1a:primock57
usually	FINDING	1a	1a:primock57
drinker	FINDING	1a	1a:primock57
pushing	FINDING	1a	1a:primock57
labored	FINDING	1a	1a:primock57
uneasy	FINDING	1a	1a:primock57
winded	FINDING	1a	1a:primock57
alone	FINDING	1a	1a:primock57
signs	FINDING	1a	1a:primock57
run	FINDING	1a	1a:primock57
swallows	FINDING	1a	1a:primock57
surgical history	FINDING	1a	1a:primock57
more than normal	FINDING	1a	1a:primock57
sexually active	FINDING	1a	1a:primock57
hot and sweaty	FINDING	1a	1a:primock57
palpitations	FINDING	1a	1a:primock57
no vomiting	FINDING	1a	1a:primock57
just right	FINDING	1a	1a:primock57
pink urine	FINDING	1a	1a:primock57
screening	FINDING	1a	1a:primock57
pregnancy	FINDING	1a	1a:primock57
worsening	FINDING	1a	1a:primock57
pregnant	FINDING	1a	1a:primock57
worrying	FINDING	1a	1a:primock57
confirm	FINDING	1a	1a:primock57
missing	FINDING	1a	1a:primock57
rhythms	FINDING	1a	1a:primock57
hurt	FINDING	1a	1a:primock57
past medical history	FINDING	1a	1a:primock57
quite troublesome	FINDING	1a	1a:primock57
skipped heartbeat	FINDING	1a	1a:primock57
general health	FINDING	1a	1a:primock57
can't remember	FINDING	1a	1a:primock57
very important	FINDING	1a	1a:primock57
lung problems	FINDING	1a	1a:primock57
consideration	FINDING	1a	1a:primock57
osteoporosis	FINDING	1a	1a:primock57
pretty clear	FINDING	1a	1a:primock57
examined	FINDING	1a	1a:primock57
swollen	FINDING	1a	1a:primock57
running	FINDING	1a	1a:primock57
walking	FINDING	1a	1a:primock57
helped	FINDING	1a	1a:primock57
angina	FINDING	1a	1a:primock57
rather	FINDING	1a	1a:primock57
found	FINDING	1a	1a:primock57
swell	FINDING	1a	1a:primock57
lives	FINDING	1a	1a:primock57
sit	FINDING	1a	1a:primock57
increased	FINDING	1a	1a:primock57
very difficult	FINDING	1a	1a:primock57
blocked ears	FINDING	1a	1a:primock57
pretty good	FINDING	1a	1a:primock57
very well	FINDING	1a	1a:primock57
sniffles	FINDING	1a	1a:primock57
ear pain	FINDING	1a	1a:primock57
shouting	FINDING	1a	1a:primock57
dullness	FINDING	1a	1a:primock57
too much	FINDING	1a	1a:primock57
hearing	FINDING	1a	1a:primock57
teacher	FINDING	1a	1a:primock57
bloody	FINDING	1a	1a:primock57
either	FINDING	1a	1a:primock57
shave	FINDING	1a	1a:primock57
easy	FINDING	1a	1a:primock57
pass	FINDING	1a	1a:primock57
fit	FINDING	1a	1a:primock57
currently taking	FINDING	1a	1a:primock57
feel tired	FINDING	1a	1a:primock57
swimming	FINDING	1a	1a:primock57
smoker	FINDING	1a	1a:primock57
red	FINDING	1a	1a:primock57
pleased	FINDING	1a	1a:primock57
severe allergy	FINDING	1a	1a:primock57
unbearable	FINDING	1a	1a:primock57
having sex	FINDING	1a	1a:primock57
your age	FINDING	1a	1a:primock57
write	FINDING	1a	1a:primock57
completely agree	FINDING	1a	1a:primock57
discolouration	FINDING	1a	1a:primock57
positive	FINDING	1a	1a:primock57
advice	FINDING	1a	1a:primock57
joint	FINDING	1a	1a:primock57
result	FINDING	1a	1a:primock57
2. very good	FINDING	1a	1a:primock57
normal temperature	FINDING	1a	1a:primock57
mild pain	FINDING	1a	1a:primock57
speak	FINDING	1a	1a:primock57
carry	FINDING	1a	1a:primock57
very often	FINDING	1a	1a:primock57
very bad	FINDING	1a	1a:primock57
warm	FINDING	1a	1a:primock57
blue	FINDING	1a	1a:primock57
unemployment	FINDING	1a	1a:primock57
no, not really	FINDING	1a	1a:primock57
no difficulty	FINDING	1a	1a:primock57
i didn't drink	FINDING	1a	1a:primock57
blurry vision	FINDING	1a	1a:primock57
controlling	FINDING	1a	1a:primock57
very rare	FINDING	1a	1a:primock57
shooting	FINDING	1a	1a:primock57
swearing	FINDING	1a	1a:primock57
reduced	FINDING	1a	1a:primock57
bmp or similar	FINDING	1a	1a:primock57
taking medication	FINDING	1a	1a:primock57
source of infection	FINDING	1a	1a:primock57
feeling tired	FINDING	1a	1a:primock57
partner well	FINDING	1a	1a:primock57
shivering	FINDING	1a	1a:primock57
shivers	FINDING	1a	1a:primock57
totally	FINDING	1a	1a:primock57
skipped	FINDING	1a	1a:primock57
immune	FINDING	1a	1a:primock57
changed jobs	FINDING	1a	1a:primock57
cleaning	FINDING	1a	1a:primock57
major	FINDING	1a	1a:primock57
no palpitations	FINDING	1a	1a:primock57
difficulty hearing	FINDING	1a	1a:primock57
deteriorating	FINDING	1a	1a:primock57
impacted wax	FINDING	1a	1a:primock57
blockage	FINDING	1a	1a:primock57
pushes	FINDING	1a	1a:primock57
fast	FINDING	1a	1a:primock57
wide	FINDING	1a	1a:primock57
joint swelling	FINDING	1a	1a:primock57
confirmed	FINDING	1a	1a:primock57
mobile	FINDING	1a	1a:primock57
worsen	FINDING	1a	1a:primock57
know right	FINDING	1a	1a:primock57
not cased	FINDING	1a	1a:primock57
physical examination	FINDING	1a	1a:primock57
difficulty speaking	FINDING	1a	1a:primock57
no pets	FINDING	1a	1a:primock57
one thing	FINDING	1a	1a:primock57
present	FINDING	1a	1a:primock57
playing	FINDING	1a	1a:primock57
panic	FINDING	1a	1a:primock57
examination finding	FINDING	1a	1a:primock57
heart racing	FINDING	1a	1a:primock57
heart rate	FINDING	1a	1a:primock57
red colour	FINDING	1a	1a:primock57
mouth open	FINDING	1a	1a:primock57
parameters	FINDING	1a	1a:primock57
examining	FINDING	1a	1a:primock57
unstable	FINDING	1a	1a:primock57
catches	FINDING	1a	1a:primock57
slight	FINDING	1a	1a:primock57
vision problems	FINDING	1a	1a:primock57
visual problems	FINDING	1a	1a:primock57
abnormal gait	FINDING	1a	1a:primock57
living alone	FINDING	1a	1a:primock57
very tired	FINDING	1a	1a:primock57
sensation	FINDING	1a	1a:primock57
surgery	FINDING	1a	1a:primock57
illness	FINDING	1a	1a:primock57
history of anaphylaxis	FINDING	1a	1a:primock57
allergy testing	FINDING	1a	1a:primock57
ask questions	FINDING	1a	1a:primock57
deteriorates	FINDING	1a	1a:primock57
feels hot	FINDING	1a	1a:primock57
recurrent	FINDING	1a	1a:primock57
unlikely	FINDING	1a	1a:primock57
issue	FINDING	1a	1a:primock57
hole	FINDING	1a	1a:primock57
compromised	FINDING	1a	1a:primock57
baby trying	FINDING	1a	1a:primock57
allergy to aspirin	FINDING	1a	1a:primock57
life threatening	FINDING	1a	1a:primock57
communicate	FINDING	1a	1a:primock57
overweight	FINDING	1a	1a:primock57
kneeling	FINDING	1a	1a:primock57
activity	FINDING	1a	1a:primock57
allergy	FINDING	1a	1a:primock57
indicated	FINDING	1a	1a:primock57
sittings	FINDING	1a	1a:primock57
very short	FINDING	1a	1a:primock57
joints swollen	FINDING	1a	1a:primock57
feeling hot	FINDING	1a	1a:primock57
bad posture	FINDING	1a	1a:primock57
exposure	FINDING	1a	1a:primock57
rural	FINDING	1a	1a:primock57
face expression	FINDING	1a	1a:primock57
discoloration	FINDING	1a	1a:primock57
able to move	FINDING	1a	1a:primock57
feel cold	FINDING	1a	1a:primock57
symmetry	FINDING	1a	1a:primock57
someone else	FINDING	1a	1a:primock57
hours sleep	FINDING	1a	1a:primock57
decrease	FINDING	1a	1a:primock57
likely	FINDING	1a	1a:primock57
moody	FINDING	1a	1a:primock57
severe allergic reaction	FINDING	1a	1a:primock57
confidential	FINDING	1a	1a:primock57
vegetarian	FINDING	1a	1a:primock57
corner	FINDING	1a	1a:primock57
non-blanching rash	FINDING	1a	1a:primock57
mosquito bites	FINDING	1a	1a:primock57
foreign travel	FINDING	1a	1a:primock57
no bleeding	FINDING	1a	1a:primock57
side to side	FINDING	1a	1a:primock57
no cough	FINDING	1a	1a:primock57
complaints	FINDING	1a	1a:primock57
thyroid problems	FINDING	1a	1a:primock57
trouble at work	FINDING	1a	1a:primock57
lost weight	FINDING	1a	1a:primock57
no diarrhoea	FINDING	1a	1a:primock57
stress at home	FINDING	1a	1a:primock57
underactive	FINDING	1a	1a:primock57
too little	FINDING	1a	1a:primock57
will find	FINDING	1a	1a:primock57
not well	FINDING	1a	1a:primock57
energy	FINDING	1a	1a:primock57
long lip	FINDING	1a	1a:primock57
peak flow meter at home	FINDING	1a	1a:primock57
history of eczema	FINDING	1a	1a:primock57
asthma attack	FINDING	1a	1a:primock57
exacerbation	FINDING	1a	1a:primock57
peak flow	FINDING	1a	1a:primock57
oral	FINDING	1a	1a:primock57
nail small	FINDING	1a	1a:primock57
ear discharge	FINDING	1a	1a:primock57
fuzzy	FINDING	1a	1a:primock57
asymptomatic	FINDING	1a	1a:primock57
imbalance	FINDING	1a	1a:primock57
breathing problem	FINDING	1a	1a:primock57
other medical condition	FINDING	1a	1a:primock57
thickened skin	FINDING	1a	1a:primock57
skin problem	FINDING	1a	1a:primock57
ever used	FINDING	1a	1a:primock57
weeping	FINDING	1a	1a:primock57
no adverse reaction	FINDING	1a	1a:primock57
dermal mass	FINDING	1a	1a:primock57
current medication	FINDING	1a	1a:primock57
diabetic	FINDING	1a	1a:primock57
hacking cough	FINDING	1a	1a:primock57
dropping things	FINDING	1a	1a:primock57
consciousness	FINDING	1a	1a:primock57
diabetes type	FINDING	1a	1a:primock57
left handed	FINDING	1a	1a:primock57
wheelchair	FINDING	1a	1a:primock57
partying	FINDING	1a	1a:primock57
boxing	FINDING	1a	1a:primock57
go away completely	FINDING	1a	1a:primock57
need treatment	FINDING	1a	1a:primock57
able to drink	FINDING	1a	1a:primock57
colour yellow	FINDING	1a	1a:primock57
confused	FINDING	1a	1a:primock57
easily	FINDING	1a	1a:primock57
difficulty climbing stairs	FINDING	1a	1a:primock57
seen by consultant	FINDING	1a	1a:primock57
severe pain	FINDING	1a	1a:primock57
climbing	FINDING	1a	1a:primock57
stairs	FINDING	1a	1a:primock57
loss of libido	FINDING	1a	1a:primock57
taking medications	FINDING	1a	1a:primock57
scar	FINDING	1a	1a:primock57
unable to complete	FINDING	1a	1a:primock57
take deep breath	FINDING	1a	1a:primock57
no dizziness	FINDING	1a	1a:primock57
no pain	FINDING	1a	1a:primock57
too long	FINDING	1a	1a:primock57
turned	FINDING	1a	1a:primock57
dust	FINDING	1a	1a:primock57
very unlikely	FINDING	1a	1a:primock57
able to talk	FINDING	1a	1a:primock57
very little	FINDING	1a	1a:primock57
much worse	FINDING	1a	1a:primock57
abnormally thin	FINDING	1a	1a:primock57
cannot stand	FINDING	1a	1a:primock57
doesn't work	FINDING	1a	1a:primock57
much better	FINDING	1a	1a:primock57
response	FINDING	1a	1a:primock57
sickness	FINDING	1a	1a:primock57
improve	FINDING	1a	1a:primock57
stand	FINDING	1a	1a:primock57
postmenopausal	FINDING	1a	1a:primock57
atypical	FINDING	1a	1a:primock57
disconnected	FINDING	1a	1a:primock57
no history of asthma	FINDING	1a	1a:primock57
unexplained weight loss	FINDING	1a	1a:primock57
feeling better	FINDING	1a	1a:primock57
risk factors	FINDING	1a	1a:primock57
lumps	FINDING	1a	1a:primock57
never smoked	FINDING	1a	1a:primock57
history of hypothyroidism	FINDING	1a	1a:primock57
physical health problems	FINDING	1a	1a:primock57
difficulty focusing	FINDING	1a	1a:primock57
easily distracted	FINDING	1a	1a:primock57
trouble sleeping	FINDING	1a	1a:primock57
feeling suicidal	FINDING	1a	1a:primock57
hours of sleep	FINDING	1a	1a:primock57
disinterested	FINDING	1a	1a:primock57
psychiatric	FINDING	1a	1a:primock57
decreased	FINDING	1a	1a:primock57
focusing	FINDING	1a	1a:primock57
new job	FINDING	1a	1a:primock57
unhappy	FINDING	1a	1a:primock57
married	FINDING	1a	1a:primock57
drug	FINDING	1a	1a:primock57
asthma exacerbations	FINDING	1a	1a:primock57
asthma exacerbation	FINDING	1a	1a:primock57
can't get	FINDING	1a	1a:primock57
small right atrium	FINDING	1a	1a:primock57
last menstrual period	FINDING	1a	1a:primock57
foul smelling urine	FINDING	1a	1a:primock57
possibly	FINDING	1a	1a:primock57
hot sweat	FINDING	1a	1a:primock57
asexual	FINDING	1a	1a:primock57
irregular ribs	FINDING	1a	1a:primock57
repeat prescription	FINDING	1a	1a:primock57
hand problems	FINDING	1a	1a:primock57
live with friends	FINDING	1a	1a:primock57
support worker	FINDING	1a	1a:primock57
suicidal thoughts	FINDING	1a	1a:primock57
not significant	FINDING	1a	1a:primock57
arranging	FINDING	1a	1a:primock57
shallow	FINDING	1a	1a:primock57
extreme	FINDING	1a	1a:primock57
therapy	FINDING	1a	1a:primock57
dread	FINDING	1a	1a:primock57
offer	FINDING	1a	1a:primock57
counsellor	FINDING	1a	1a:primock57
abnormal discharge	FINDING	1a	1a:primock57
vaginal bleeding	FINDING	1a	1a:primock57
period stopped	FINDING	1a	1a:primock57
period normal	FINDING	1a	1a:primock57
stool normal	FINDING	1a	1a:primock57
hard stool	FINDING	1a	1a:primock57
sporadic	FINDING	1a	1a:primock57
vaginal	FINDING	1a	1a:primock57
contraceptive implant	FINDING	1a	1a:primock57
shiver	FINDING	1a	1a:primock57
got normal	FINDING	1a	1a:primock57
hydration	FINDING	1a	1a:primock57
not able	FINDING	1a	1a:primock57
no rash	FINDING	1a	1a:primock57
sips	FINDING	1a	1a:primock57
teasing	FINDING	1a	1a:primock57
needs treatment	FINDING	1a	1a:primock57
chest problems	FINDING	1a	1a:primock57
foot	FINDING	1a	1a:primock57
spiking temperature	FINDING	1a	1a:primock57
very short of breath	FINDING	1a	1a:primock57
use medication	FINDING	1a	1a:primock57
severely	FINDING	1a	1a:primock57
score	FINDING	1a	1a:primock57
no symptoms	FINDING	1a	1a:primock57
blurred vision	FINDING	1a	1a:primock57
weight change	FINDING	1a	1a:primock57
energy levels	FINDING	1a	1a:primock57
turns	FINDING	1a	1a:primock57
stabbing pain	FINDING	1a	1a:primock57
first half	FINDING	1a	1a:primock57
very hard	FINDING	1a	1a:primock57
asleep	FINDING	1a	1a:primock57
turn	FINDING	1a	1a:primock57
problems walking	FINDING	1a	1a:primock57
joint problems	FINDING	1a	1a:primock57
not swollen	FINDING	1a	1a:primock57
bruise	FINDING	1a	1a:primock57
moves	FINDING	1a	1a:primock57
runs	FINDING	1a	1a:primock57
max	FINDING	1a	1a:primock57
stomach problems	FINDING	1a	1a:primock57
increased stress	FINDING	1a	1a:primock57
symptoms fever	FINDING	1a	1a:primock57
short period	FINDING	1a	1a:primock57
unusual face	FINDING	1a	1a:primock57
cholesterol problems	FINDING	1b	1b:figshare-osce
living situation	FINDING	1b	1b:figshare-osce
noisy breathing	FINDING	1b	1b:figshare-osce
skin changes	FINDING	1b	1b:figshare-osce
your gender	FINDING	1b	1b:figshare-osce
jerked	FINDING	1b	1b:figshare-osce
male	FINDING	1b	1b:figshare-osce
loss	FINDING	1b	1b:figshare-osce
recent hospitalization	FINDING	1b	1b:figshare-osce
hospitalized	FINDING	1b	1b:figshare-osce
too often	FINDING	1b	1b:figshare-osce
<20 years	FINDING	1b	1b:figshare-osce
exposure to tuberculosis	FINDING	1b	1b:figshare-osce
productive cough	FINDING	1b	1b:figshare-osce
home environment	FINDING	1b	1b:figshare-osce
activity levels	FINDING	1b	1b:figshare-osce
more than 50	FINDING	1b	1b:figshare-osce
past history	FINDING	1b	1b:figshare-osce
positional	FINDING	1b	1b:figshare-osce
lying flat	FINDING	1b	1b:figshare-osce
wet cough	FINDING	1b	1b:figshare-osce
climb	FINDING	1b	1b:figshare-osce
previous hospitalization	FINDING	1b	1b:figshare-osce
>40 years	FINDING	1b	1b:figshare-osce
history of heart problems	FINDING	1b	1b:figshare-osce
separated	FINDING	1b	1b:figshare-osce
worse than usual	FINDING	1b	1b:figshare-osce
lost feeling	FINDING	1b	1b:figshare-osce
looking for work	FINDING	1b	1b:figshare-osce
physical exam	FINDING	1b	1b:figshare-osce
feel hungry	FINDING	1b	1b:figshare-osce
unemployed	FINDING	1b	1b:figshare-osce
employed	FINDING	1b	1b:figshare-osce
turning	FINDING	1b	1b:figshare-osce
stands	FINDING	1b	1b:figshare-osce
urinary frequency	FINDING	1b	1b:figshare-osce
birth control	FINDING	1b	1b:figshare-osce
protection	FINDING	1b	1b:figshare-osce
chewing	FINDING	1b	1b:figshare-osce
history of gallbladder disease	FINDING	1b	1b:figshare-osce
lose weight	FINDING	1b	1b:figshare-osce
not prescribed	FINDING	1b	1b:figshare-osce
my children	FINDING	1b	1b:figshare-osce
criticizing	FINDING	1b	1b:figshare-osce
habits	FINDING	1b	1b:figshare-osce
<3 hours	FINDING	1b	1b:figshare-osce
thin right upper arm	FINDING	1b	1b:figshare-osce
eating less than usual	FINDING	1b	1b:figshare-osce
urine color	FINDING	1b	1b:figshare-osce
walks	FINDING	1b	1b:figshare-osce
blood in vomit	FINDING	1b	1b:figshare-osce
general history	FINDING	1b	1b:figshare-osce
unclear speech	FINDING	1b	1b:figshare-osce
hysterectomy	FINDING	1b	1b:figshare-osce
jumps	FINDING	1b	1b:figshare-osce
skip	FINDING	1b	1b:figshare-osce
jump	FINDING	1b	1b:figshare-osce
loss of smell	FINDING	1b	1b:figshare-osce
healthy child	FINDING	1b	1b:figshare-osce
birth history	FINDING	1b	1b:figshare-osce
scores	FINDING	1b	1b:figshare-osce
gastrointestinal problems	FINDING	1b	1b:figshare-osce
pulled	FINDING	1b	1b:figshare-osce
visual changes	FINDING	1b	1b:figshare-osce
lesions	FINDING	1b	1b:figshare-osce
frothy	FINDING	1b	1b:figshare-osce
numbness or tingling	FINDING	1b	1b:figshare-osce
bladder incontinence	FINDING	1b	1b:figshare-osce
cramping pain	FINDING	1b	1b:figshare-osce
worsens	FINDING	1b	1b:figshare-osce
once or twice per week	FINDING	1b	1b:figshare-osce
environmental factors	FINDING	1b	1b:figshare-osce
history of psoriasis	FINDING	1b	1b:figshare-osce
morning stiffness	FINDING	1b	1b:figshare-osce
nail changes	FINDING	1b	1b:figshare-osce
eye problems	FINDING	1b	1b:figshare-osce
able to bend	FINDING	1b	1b:figshare-osce
pinpoint	FINDING	1b	1b:figshare-osce
spine	FINDING	1b	1b:figshare-osce
5 6	FINDING	1b	1b:figshare-osce
playing basketball	FINDING	1b	1b:figshare-osce
swelling skin	FINDING	1b	1b:figshare-osce
weight changes	FINDING	1b	1b:figshare-osce
able to stand	FINDING	1b	1b:figshare-osce
short periods	FINDING	1b	1b:figshare-osce
bruising	FINDING	1b	1b:figshare-osce
warmth	FINDING	1b	1b:figshare-osce
fractures	FINDING	1b	1b:figshare-osce
able to move arm	FINDING	1b	1b:figshare-osce
heart palpitations	FINDING	1b	1b:figshare-osce
taste changes	FINDING	1b	1b:figshare-osce
confusion	FINDING	1b	1b:figshare-osce
imaging	FINDING	1b	1b:figshare-osce
modification	FINDING	1b	1b:figshare-osce
symmetrical	FINDING	1b	1b:figshare-osce
w full extension	FINDING	1b	1b:figshare-osce
history and physical exam	FINDING	1b	1b:figshare-osce
difficulty walking	FINDING	1b	1b:figshare-osce
sitting position	FINDING	1b	1b:figshare-osce
loss weight	FINDING	1b	1b:figshare-osce
knee extension	FINDING	1b	1b:figshare-osce
antalgic gait	FINDING	1b	1b:figshare-osce
hip extension	FINDING	1b	1b:figshare-osce
hip abduction	FINDING	1b	1b:figshare-osce
hip adduction	FINDING	1b	1b:figshare-osce
leg weakness	FINDING	1b	1b:figshare-osce
knee flexion	FINDING	1b	1b:figshare-osce
hip flexion	FINDING	1b	1b:figshare-osce
deformity	FINDING	1b	1b:figshare-osce
feel hot	FINDING	1b	1b:figshare-osce
limping	FINDING	1b	1b:figshare-osce
gait	FINDING	1b	1b:figshare-osce
hurts little bit	FINDING	1b	1b:figshare-osce
thyroid disease	FINDING	1b	1b:figshare-osce
joint deformity	FINDING	1b	1b:figshare-osce
memory	FINDING	1b	1b:figshare-osce
played	FINDING	1b	1b:figshare-osce
scars	FINDING	1b	1b:figshare-osce
alleviating factors	FINDING	1b	1b:figshare-osce
no shortness of breath	FINDING	1b	1b:figshare-osce
difficulties walking	FINDING	1b	1b:figshare-osce
knee instability	FINDING	1b	1b:figshare-osce
playing soccer	FINDING	1b	1b:figshare-osce
eye symptoms	FINDING	1b	1b:figshare-osce
joint laxity	FINDING	1b	1b:figshare-osce
instability	FINDING	1b	1b:figshare-osce
ecchymosis	FINDING	1b	1b:figshare-osce
grade	FINDING	1b	1b:figshare-osce
limp	FINDING	1b	1b:figshare-osce
pull	FINDING	1b	1b:figshare-osce
putting weight	FINDING	1b	1b:figshare-osce
aggravated	FINDING	1b	1b:figshare-osce
seated	FINDING	1b	1b:figshare-osce
normal reflexes	FINDING	1b	1b:figshare-osce
playing tennis	FINDING	1b	1b:figshare-osce
somewhat	FINDING	1b	1b:figshare-osce
rotation	FINDING	1b	1b:figshare-osce
feel warm	FINDING	1b	1b:figshare-osce
broken	FINDING	1b	1b:figshare-osce
increased fatigue	FINDING	1b	1b:figshare-osce
stop working	FINDING	1b	1b:figshare-osce
problems with balance	FINDING	1b	1b:figshare-osce
hypercholesterolemia	FINDING	1b	1b:figshare-osce
memory changes	FINDING	1b	1b:figshare-osce
no swelling	FINDING	1b	1b:figshare-osce
does walk	FINDING	1b	1b:figshare-osce
wound healing	FINDING	1b	1b:figshare-osce
use insulin	FINDING	1b	1b:figshare-osce
not healing	FINDING	1b	1b:figshare-osce
stepping	FINDING	1b	1b:figshare-osce
hitting	FINDING	1b	1b:figshare-osce
obesity	FINDING	1b	1b:figshare-osce
<2 years	FINDING	1b	1b:figshare-osce
your spouse or partner	FINDING	1b	1b:figshare-osce
bone healed	FINDING	1b	1b:figshare-osce
activities of daily living	FINDING	1b	1b:figshare-osce
stress at work	FINDING	1b	1b:figshare-osce
joint hot	FINDING	1b	1b:figshare-osce
pulling	FINDING	1b	1b:figshare-osce
retire	FINDING	1b	1b:figshare-osce
progressive onset	FINDING	1b	1b:figshare-osce
irritable crying	FINDING	1b	1b:figshare-osce
put weight	FINDING	1b	1b:figshare-osce
swollen joint	FINDING	1b	1b:figshare-osce
breech	FINDING	1b	1b:figshare-osce
near	FINDING	1b	1b:figshare-osce
behaviours	FINDING	1b	1b:figshare-osce
obesity class	FINDING	1b	1b:figshare-osce
muscle bulk	FINDING	1b	1b:figshare-osce
monogamous	FINDING	1b	1b:figshare-osce
clumsy	FINDING	1b	1b:figshare-osce
6 to 10 cigarettes	FINDING	1b	1b:figshare-osce
smell changes	FINDING	1b	1b:figshare-osce
found standing	FINDING	1b	1b:figshare-osce
playing rugby	FINDING	1b	1b:figshare-osce
reduction	FINDING	1b	1b:figshare-osce
worse with activity	FINDING	1b	1b:figshare-osce
<12 months	FINDING	1b	1b:figshare-osce
stopped drinking alcohol	FINDING	1b	1b:figshare-osce
history of hypertension	FINDING	1b	1b:figshare-osce
limited range of motion	FINDING	1b	1b:figshare-osce
other pain	FINDING	1b	1b:figshare-osce
crepitus	FINDING	1b	1b:figshare-osce
old age	FINDING	1b	1b:figshare-osce
able to run	FINDING	1b	1b:figshare-osce
stationary	FINDING	1b	1b:figshare-osce
squatting	FINDING	1b	1b:figshare-osce
young age	FINDING	1b	1b:figshare-osce
1-several days	FINDING	1b	1b:figshare-osce
better than others	FINDING	1b	1b:figshare-osce
more than 12	FINDING	1b	1b:figshare-osce
jumped	FINDING	1b	1b:figshare-osce
infect	FINDING	1b	1b:figshare-osce
disc	FINDING	1b	1b:figshare-osce
reduced sensation	FINDING	1b	1b:figshare-osce
kneel	FINDING	1b	1b:figshare-osce
by selling something	FINDING	1b	1b:figshare-osce
no muscle weakness	FINDING	1b	1b:figshare-osce
vaginal delivery	FINDING	1b	1b:figshare-osce
gaining weight	FINDING	1b	1b:figshare-osce
no nausea	FINDING	1b	1b:figshare-osce
extended	FINDING	1b	1b:figshare-osce
flexed	FINDING	1b	1b:figshare-osce
neurological problems	FINDING	1b	1b:figshare-osce
shoulder movement	FINDING	1b	1b:figshare-osce
elbow flexion	FINDING	1b	1b:figshare-osce
able to lift	FINDING	1b	1b:figshare-osce
lump	FINDING	1b	1b:figshare-osce
nothing	FINDING	1b	1b:figshare-osce
i was happy yesterday	FINDING	1b	1b:figshare-osce
able to sleep	FINDING	1b	1b:figshare-osce
sparking	FINDING	1b	1b:figshare-osce
combination	FINDING	1b	1b:figshare-osce
normal function	FINDING	1b	1b:figshare-osce
neonate	FINDING	1b	1b:figshare-osce
jerk	FINDING	1b	1b:figshare-osce
treatment options	FINDING	1b	1b:figshare-osce
ability to play	FINDING	1b	1b:figshare-osce
constant pain	FINDING	1b	1b:figshare-osce
improves	FINDING	1b	1b:figshare-osce
increasing weight	FINDING	1b	1b:figshare-osce
safe environment	FINDING	1b	1b:figshare-osce
does turn	FINDING	1b	1b:figshare-osce
tall	FINDING	1b	1b:figshare-osce
musculoskeletal problems	FINDING	1b	1b:figshare-osce
musculoskeletal pains	FINDING	1b	1b:figshare-osce
joint involvement	FINDING	1b	1b:figshare-osce
snowboarding	FINDING	1b	1b:figshare-osce
camping	FINDING	1b	1b:figshare-osce
skiing	FINDING	1b	1b:figshare-osce
positive phalen sign	FINDING	1b	1b:figshare-osce
positive tinel sign	FINDING	1b	1b:figshare-osce
