dataset	file_id	ref_len_norm	hyp_len_norm	hyp_minus_ref	filler_hits_pre_norm	filler_hits_post_norm	top_extra_tokens
figshare-osce	MSK0004	1095	1171	76	258	114	okay(42), i(21), is(9), it(8), have(7), not(7), all(5), am(4), will(4), and(3)
figshare-osce	MSK0007	1325	1371	46	267	113	okay(61), it(14), is(10), have(5), you(4), and(4), not(4), hum(4), yeah(3), so(3)
figshare-osce	MSK0008	1384	1452	68	297	111	okay(56), it(12), right(9), all(9), i(8), the(8), you(7), is(7), are(6), not(5)
figshare-osce	MSK0009	1510	1640	130	398	154	okay(54), i(25), is(18), have(14), you(13), am(11), it(10), not(10), do(7), a(6)
figshare-osce	MSK0010	1461	1533	72	325	140	okay(49), i(13), is(11), have(9), the(8), that(7), it(7), yes(6), no(6), are(6)
figshare-osce	MSK0015	1569	1660	91	373	123	okay(43), is(29), she(21), it(11), not(9), i(8), have(6), am(5), has(5), her(5)
primock57	day1_consultation01	1346	1360	14	260	131	you(10), yeah(8), the(8), in(8), right(7), have(5), all(4), i(4), did(4), that(3)
primock57	day1_consultation02	1664	1695	31	254	126	okay(39), you(11), and(10), the(10), are(6), i(5), right(5), will(4), see(4), going(4)
primock57	day1_consultation03	1557	1558	1	208	107	okay(40), the(14), you(7), hum(6), and(6), what(5), it(4), headaches(4), am(4), my(4)
primock57	day1_consultation04	1643	1678	35	286	120	okay(47), of(7), have(6), a(6), yeah(5), i(5), right(5), is(5), all(4), the(4)
primock57	day1_consultation05	1622	1607	-15	218	104	okay(40), you(8), right(6), to(5), it(5), hum(4), we(4), will(4), this(3), in(3)
primock57	day1_consultation06	1824	1765	-59	291	129	okay(65), hum(5), right(4), did(3), the(3), in(3), get(3), going(3), with(3), he(3)
primock57	day1_consultation07	2783	2711	-72	436	228	okay(40), we(18), you(17), to(11), will(11), hum(10), go(7), no(7), and(6), be(6)
primock57	day1_consultation08	1162	1169	7	168	84	okay(45), in(6), will(5), it(4), about(3), the(3), yes(3), not(2), do(2), would(2)
primock57	day1_consultation09	1550	1537	-13	272	133	okay(44), the(8), is(7), this(5), and(4), with(4), it(4), right(4), well(4), hum(4)
primock57	day1_consultation10	1846	1686	-160	300	134	okay(41), hum(10), he(8), the(7), did(7), am(5), nope(5), in(4), has(3), weeks(3)
primock57	day1_consultation11	2309	2327	18	410	226	okay(49), is(10), right(10), it(9), all(9), the(7), to(5), did(5), i(4), your(4)
primock57	day1_consultation12	1131	1159	28	195	102	okay(36), right(9), all(9), it(6), in(5), the(4), i(3), little(3), am(3), thank(3)
primock57	day1_consultation13	1672	1661	-11	242	135	okay(39), hum(12), is(6), it(6), have(6), with(4), and(2), age(2), an(2), off(2)
primock57	day1_consultation14	1927	1935	8	256	157	okay(46), i(13), right(9), you(8), hum(7), all(6), is(6), will(6), this(4), no(4)
primock57	day1_consultation15	1249	1279	30	177	107	okay(37), right(11), all(6), so(5), yes(4), i(4), am(4), is(4), the(4), to(4)
primock57	day2_consultation01	1155	1167	12	158	83	okay(34), right(7), and(6), a(5), no(5), to(4), are(4), be(4), all(4), is(3)
primock57	day2_consultation02	1675	1649	-26	244	136	okay(52), the(6), you(6), it(5), to(4), we(4), about(3), just(3), when(3), know(3)
primock57	day2_consultation03	1411	1332	-79	207	126	okay(44), the(8), right(7), we(5), it(5), you(4), but(4), what(4), of(3), little(3)
primock57	day2_consultation04	1814	1732	-82	270	156	okay(61), the(5), a(5), am(4), to(4), yeah(4), just(3), this(3), out(3), want(3)
primock57	day2_consultation05	1904	1830	-74	221	129	okay(52), to(5), you(5), yes(4), yeah(4), thank(3), great(3), on(3), be(3), school(3)
nazmulkazi	D0420-S1-T01	2786	2786	0	210	192	because(11), the(6), i(5), right(5), no(5), nah(5), in(4), okay(4), would(4), hum(4)
nazmulkazi	D0420-S1-T02	515	504	-11	9	9	make(1), nutritionist(1), sit(1), i(1), just(1), are(1), the(1), of(1), part(1), every(1)
nazmulkazi	D0420-S1-T03	943	930	-13	19	11	too(3), at(3), car(2), a(2), he(2), s(2), the(1), works(1), and(1), were(1)
nazmulkazi	D0420-S1-T04	1549	1539	-10	32	27	a(5), and(3), but(3), or(3), hum(2), as(2), okay(2), an(2), no(2), i(1)
nazmulkazi	D0420-S1-T05	2434	2425	-9	149	139	yeah(5), there(3), is(3), it(3), publix(3), would(2), okay(2), have(2), no(2), because(2)
nazmulkazi	D0420-S2-T01	6878	6960	82	229	192	it(15), and(11), a(11), the(11), ra(10), hum(8), are(6), they(5), have(4), would(4)
nazmulkazi	D0420-S3-T01	1971	1972	1	28	25	in(5), is(4), or(3), why(2), were(2), hum(2), too(2), stepfather(2), i(1), psychiatrists(1)
nazmulkazi	D0420-S3-T02	5277	5361	84	274	241	it(14), hum(10), the(9), just(8), they(7), he(7), right(6), so(5), in(5), which(4)
nazmulkazi	D0420-S3-T03	4297	4362	65	133	115	hum(12), it(6), to(5), are(5), telling(5), time(4), yet(4), in(4), you(3), and(3)
nazmulkazi	D0420-S4-T01	2506	2593	87	84	57	ma(21), he(11), i(7), is(4), go(4), hum(4), did(3), that(3), it(3), and(3)
nazmulkazi	D0421-S1-T01	6142	6228	86	362	344	it(20), so(13), the(9), and(5), that(5), he(4), or(3), to(3), yeah(3), have(3)
nazmulkazi	D0421-S1-T02	4804	4903	99	130	126	it(9), is(9), e(9), this(8), and(7), have(6), but(6), i(5), of(5), these(5)
nazmulkazi	D0421-S1-T03	2676	2723	47	161	151	is(6), hum(6), of(4), it(4), so(3), and(3), than(3), in(3), okay(3), but(2)
nazmulkazi	D0421-S1-T04	3487	3559	72	155	144	it(10), a(6), hum(5), and(4), in(4), or(4), talk(4), of(3), would(3), have(3)
nazmulkazi	D0421-S1-T05	3138	3207	69	132	127	it(12), and(10), to(6), of(5), are(5), death(5), that(3), community(3), genes(3), i(2)
nazmulkazi	D0421-S2-T01	8392	8617	225	295	270	i(36), have(25), he(20), it(18), been(16), of(16), hum(15), with(13), in(10), to(8)
nazmulkazi	D0421-S2-T02	6994	7162	168	256	236	in(16), not(12), the(12), he(12), so(9), it(9), okay(7), of(6), for(5), sitting(5)
nazmulkazi	D0421-S3-T01	3936	4063	127	247	234	and(13), of(10), but(9), her(9), hum(9), medicine(8), not(7), he(7), it(6), she(6)
nazmulkazi	D0421-S3-T02	3678	3834	156	201	169	hum(11), is(9), it(9), in(8), to(8), the(7), of(6), that(6), you(5), but(5)
nazmulkazi	D0421-S3-T03	4323	4411	88	227	194	in(14), it(14), hum(8), you(7), is(7), the(7), but(5), well(5), of(4), have(4)
