seed	in_clincalc	in_pdfs_count
tiotropium	1	0
tirzepatide	1	0
tizanidine	1	0
tmp-smx	0	1
tobramycin	1	0
tomato	0	1
toothache	0	1
topamax	0	0
topiramate	1	0
toprol	0	0
toradol	0	1
torsemide	1	0
toxoid	0	2
tramadol	1	0
trazodone	1	0
trelegy	0	0
tretinoin	1	0
triamcinolone	1	0
triamterene	1	0
triazolam	0	0
tribenzor	0	0
trileptal	0	0
trimethoprim	1	2
trimethoprim-sulfamethoxazole	0	2
trintellix	0	0
trulicity	0	0
tuberculin	0	2
tylenol	0	2
tylox	0	0
ultram	0	0
umeclidinium	1	0
urban	0	1
valacyclovir	1	1
valium	0	0
valproate	1	1
valsartan	1	0
valtrex	0	0
vaseline	0	1
vasotec	0	0
venlafaxine	1	0
ventolin	0	1
verapamil	1	0
versed	0	1
viagra	0	1
vicodin	0	0
victoza	0	0
viibryd	0	0
vilanterol	1	0
vilazodone	0	0
vitamin e	1	0
vortioxetine	0	0
vraylar	0	0
vyvanse	0	0
warfarin	1	2
wegovy	0	0
wellbutrin	0	0
with	1	0
xanax	0	0
xarelto	0	1
xylocaine	0	1
z-pak	0	0
zaleplon	0	0
zebeta	0	0
zemuron	0	1
zepbound	0	0
zestril	0	0
zetia	0	0
zidovudine	0	2
ziprasidone	0	0
zithromax	0	0
zocor	0	0
zofran	0	1
zoloft	0	0
zolpidem	1	0
zovirax	0	0
zyban	0	0
zyloprim	0	0
zyprexa	0	0
zyrtec	0	0
