dataset	file_id	pattern	ref_words	parakeet_words	medasr_words	medasr_correct
primock57	day1_consultation07	NEGATION_FLIP	it's not			unalignable
primock57	day1_consultation07	NEGATION_FLIP	haven't you know			unalignable
primock57	day1_consultation07	NUMERIC	the first			unalignable
primock57	day1_consultation07	NUMERIC	four	okay		unalignable
primock57	day1_consultation07	NUMERIC	five days ago			unalignable
primock57	day1_consultation07	NEGATION_FLIP	no i haven't	or have you		unalignable
primock57	day1_consultation07	NUMERIC	two aye			unalignable
primock57	day1_consultation07	NUMERIC	uh or ok	a one okay		unalignable
primock57	day1_consultation07	NEGATION_FLIP	i haven't got			unalignable
primock57	day1_consultation07	LATERALITY	long-term right ok	long term okay		unalignable
primock57	day1_consultation07	NEGATION_FLIP	not that i'm			unalignable
primock57	day1_consultation07	NEGATION_FLIP	you know nah not just			unalignable
primock57	day1_consultation07	NEGATION_FLIP	not			unalignable
primock57	day1_consultation07	NEGATION_FLIP	nothing	anything		unalignable
primock57	day1_consultation07	NEGATION_FLIP	not			unalignable
primock57	day1_consultation07	NUMERIC	four			unalignable
primock57	day1_consultation07	NUMERIC	nine			unalignable
primock57	day1_consultation07	LATERALITY	right yes aye			unalignable
primock57	day1_consultation07	NUMERIC	twenty	24	24 to4unintrea	0
primock57	day1_consultation07	NUMERIC	four		24 to4unintrea	0
primock57	day1_consultation07	NUMERIC	forty	48		unalignable
primock57	day1_consultation07	NUMERIC	eight			unalignable
primock57	day1_consultation07	NEGATION_FLIP	go	won't		unalignable
primock57	day1_consultation07	NUMERIC	twenty	24		unalignable
primock57	day1_consultation07	NUMERIC	four			unalignable
primock57	day1_consultation07	NUMERIC	forty	48		unalignable
primock57	day1_consultation07	NUMERIC	eight			unalignable
primock57	day1_consultation07	NEGATION_FLIP	not			unalignable
primock57	day1_consultation07	LATERALITY	right			unalignable
primock57	day1_consultation08	NUMERIC	twenty six twenty	26 26 okay		unalignable
primock57	day1_consultation08	NUMERIC	six ok			unalignable
primock57	day1_consultation08	NEGATION_FLIP	no			unalignable
primock57	day1_consultation08	NEGATION_FLIP	no ok	yep okay		unalignable
primock57	day1_consultation08	NEGATION_FLIP	don't	mean		unalignable
primock57	day1_consultation08	NEGATION_FLIP	certainly	don't		unalignable
primock57	day1_consultation08	LATERALITY	right	great		unalignable
primock57	day1_consultation09	NUMERIC	nineteen	19		unalignable
primock57	day1_consultation09	NEGATION_FLIP	not			unalignable
primock57	day1_consultation09	LATERALITY	right right	okay okay		unalignable
primock57	day1_consultation09	NEGATION_FLIP	not			unalignable
primock57	day1_consultation09	NEGATION_FLIP	no			unalignable
primock57	day1_consultation09	NEGATION_FLIP	not that i've			unalignable
primock57	day1_consultation09	NEGATION_FLIP	hope you don't mind	hoping that we are		unalignable
primock57	day1_consultation09	NEGATION_FLIP	don't think i've ever			unalignable
primock57	day1_consultation09	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation09	NUMERIC	three weeks ago ok			unalignable
primock57	day1_consultation09	NEGATION_FLIP	i don't no no			unalignable
primock57	day1_consultation09	NEGATION_FLIP	it wasn't			unalignable
primock57	day1_consultation09	LATERALITY	right	okay		unalignable
primock57	day1_consultation09	NEGATION_FLIP	i don't			unalignable
primock57	day1_consultation09	NUMERIC	three	three-day	has threeday	0
primock57	day1_consultation10	NUMERIC	nineteen	19		unalignable
primock57	day1_consultation10	NUMERIC	nineteen	19		unalignable
primock57	day1_consultation10	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation10	NEGATION_FLIP	no			unalignable
primock57	day1_consultation10	LATERALITY	right um			unalignable
primock57	day1_consultation10	NEGATION_FLIP	like yeah ok uh	no no not that		unalignable
primock57	day1_consultation10	NEGATION_FLIP	no no not uh uh			unalignable
primock57	day1_consultation10	NEGATION_FLIP	no			unalignable
primock57	day1_consultation10	NEGATION_FLIP	like i dunno	i don't know		unalignable
primock57	day1_consultation10	LATERALITY	yeah yeah that's it yeah yeah that's right ok			unalignable
primock57	day1_consultation10	NUMERIC	clindamycin mycin ok ok ok then i	clindusin that looked like half years ago		unalignable
primock57	day1_consultation10	NEGATION_FLIP	no or generally			unalignable
primock57	day1_consultation10	NUMERIC	three	three-day	threeda co	0
primock57	day1_consultation11	NEGATION_FLIP	this audio and then it's absolutely fine just connection on the screen uh	have a connection on the screen it's audio no no it's actually fine		unalignable
primock57	day1_consultation11	NUMERIC	seven twenty seven	27 27 okay		unalignable
primock57	day1_consultation11	NUMERIC	twenty seven ok			unalignable
primock57	day1_consultation11	NEGATION_FLIP	not			unalignable
primock57	day1_consultation11	NEGATION_FLIP	no i			unalignable
primock57	day1_consultation11	NEGATION_FLIP	i don't			unalignable
primock57	day1_consultation11	NUMERIC	ten	10		unalignable
primock57	day1_consultation11	NUMERIC	is it ten			unalignable
primock57	day1_consultation11	NUMERIC	ten	10		unalignable
primock57	day1_consultation11	NUMERIC	solid six ok	okay all right		unalignable
primock57	day1_consultation11	NEGATION_FLIP	uh no	i know		unalignable
primock57	day1_consultation11	NEGATION_FLIP	i'm not			unalignable
primock57	day1_consultation11	NEGATION_FLIP	no	know		unalignable
primock57	day1_consultation11	NEGATION_FLIP	no			unalignable
primock57	day1_consultation11	NEGATION_FLIP	i'm not			unalignable
primock57	day1_consultation11	NEGATION_FLIP	i don't			unalignable
primock57	day1_consultation11	NEGATION_FLIP	i don't			unalignable
primock57	day1_consultation11	NEGATION_FLIP	not of that 'cause uh	there because uh it's always		unalignable
primock57	day1_consultation11	NEGATION_FLIP	don't			unalignable
primock57	day1_consultation11	NEGATION_FLIP	um i i don't			unalignable
primock57	day1_consultation11	NEGATION_FLIP	haven't			unalignable
primock57	day1_consultation11	NEGATION_FLIP	um not			unalignable
primock57	day1_consultation11	NEGATION_FLIP	not but			unalignable
primock57	day1_consultation11	LATERALITY	um right			unalignable
primock57	day1_consultation11	NUMERIC	forty	48		unalignable
primock57	day1_consultation11	NUMERIC	eight			unalignable
primock57	day1_consultation12	NUMERIC	forty eight	48 okay		unalignable
primock57	day1_consultation12	LATERALITY	right um			unalignable
primock57	day1_consultation12	NEGATION_FLIP	not		not not really no	1
primock57	day1_consultation12	NEGATION_FLIP	no ok alright	okay all right		unalignable
primock57	day1_consultation12	NEGATION_FLIP	no	okay		unalignable
primock57	day1_consultation12	NEGATION_FLIP	not	okay		unalignable
primock57	day1_consultation12	NUMERIC	ten	10	10	0
primock57	day1_consultation12	NUMERIC	twenty	24		unalignable
primock57	day1_consultation12	NUMERIC	four			unalignable
primock57	day1_consultation12	NUMERIC	forty	48		unalignable
primock57	day1_consultation12	NUMERIC	eight			unalignable
primock57	day1_consultation13	NUMERIC	twenty	26		unalignable
primock57	day1_consultation13	NUMERIC	six			unalignable
primock57	day1_consultation13	NUMERIC	eight	okay	eightperiodelligible decrib	0
primock57	day1_consultation13	NEGATION_FLIP	no	know	no	1
primock57	day1_consultation13	NEGATION_FLIP	no vomiting ok			unalignable
primock57	day1_consultation13	NEGATION_FLIP	ok ok yeah probably	okay okay no problem		unalignable
primock57	day1_consultation13	NEGATION_FLIP	no			unalignable
primock57	day1_consultation13	LATERALITY	right ok			unalignable
primock57	day1_consultation13	NUMERIC	five	years		unalignable
primock57	day1_consultation13	NUMERIC	too	two		unalignable
primock57	day1_consultation14	NUMERIC	fifty	50		unalignable
primock57	day1_consultation14	NUMERIC	fifty ok	50 okay		unalignable
primock57	day1_consultation14	NEGATION_FLIP	nothing nothing on the ears			unalignable
primock57	day1_consultation14	NEGATION_FLIP	no	or		unalignable
primock57	day1_consultation14	NEGATION_FLIP	not			unalignable
primock57	day1_consultation14	NEGATION_FLIP	not really day to day when you			unalignable
primock57	day1_consultation14	NEGATION_FLIP	not			unalignable
primock57	day1_consultation14	NEGATION_FLIP	not			unalignable
primock57	day1_consultation14	NUMERIC	a	100		unalignable
primock57	day1_consultation14	NUMERIC	hundred percent			unalignable
primock57	day1_consultation14	NEGATION_FLIP	nausea	no		unalignable
primock57	day1_consultation14	NEGATION_FLIP	it didn't			unalignable
primock57	day1_consultation14	NEGATION_FLIP	ok no i	okay yeah and		unalignable
primock57	day1_consultation14	LATERALITY	um	right		unalignable
primock57	day1_consultation14	LATERALITY	right ok ok			unalignable
primock57	day1_consultation14	NEGATION_FLIP	if you don't	should i say		unalignable
primock57	day1_consultation14	NEGATION_FLIP	no			unalignable
primock57	day1_consultation14	LATERALITY	right	great		unalignable
primock57	day1_consultation14	LATERALITY	right ok	oh wait		unalignable
primock57	day1_consultation14	NUMERIC	ten	10		unalignable
primock57	day1_consultation14	NEGATION_FLIP	no			unalignable
primock57	day1_consultation15	NUMERIC	forty five	45 45		unalignable
primock57	day1_consultation15	NUMERIC	forty five			unalignable
primock57	day1_consultation15	NEGATION_FLIP	i don't get yeah um ok alright	palm okay all right do you notice		unalignable
primock57	day1_consultation15	NEGATION_FLIP	yeah but isn't sorry			unalignable
primock57	day1_consultation15	NUMERIC	two	2		unalignable
primock57	day1_consultation15	NUMERIC	two	2		unalignable
primock57	day1_consultation15	NEGATION_FLIP	no ok family	family history wise	family	0
primock57	day1_consultation15	LATERALITY	ok	right		unalignable
primock57	day1_consultation15	NUMERIC	uh	e45		unalignable
primock57	day1_consultation15	NUMERIC	e forty five			unalignable
primock57	day1_consultation15	NUMERIC	uh	10		unalignable
primock57	day1_consultation15	NUMERIC	ten			unalignable
primock57	day1_consultation15	NUMERIC	fourteen	14	14	0
primock57	day2_consultation01	NUMERIC	uh thirty	31st of		unalignable
primock57	day2_consultation01	NUMERIC	first			unalignable
primock57	day2_consultation01	NUMERIC	nineteen	1990		unalignable
primock57	day2_consultation01	NUMERIC	ninety			unalignable
primock57	day2_consultation01	NUMERIC	six	six-week		unalignable
primock57	day2_consultation01	NEGATION_FLIP	uh	no		unalignable
primock57	day2_consultation01	LATERALITY	left ear ok			unalignable
primock57	day2_consultation01	NEGATION_FLIP	ok um	no okay		unalignable
primock57	day2_consultation01	NEGATION_FLIP	uh nah i'll do	no i don't know		unalignable
primock57	day2_consultation01	NEGATION_FLIP	uh it's it's not			unalignable
primock57	day2_consultation01	NEGATION_FLIP	not			unalignable
primock57	day2_consultation01	NEGATION_FLIP	no			unalignable
primock57	day2_consultation01	LATERALITY	ok um right			unalignable
primock57	day2_consultation01	NUMERIC	one of us over	and also have a		unalignable
primock57	day2_consultation02	NUMERIC	fifth	5th		unalignable
primock57	day2_consultation02	NUMERIC	uh nineteen	1973 okay		unalignable
primock57	day2_consultation02	NUMERIC	seventy three ok			unalignable
primock57	day2_consultation02	NEGATION_FLIP	i cannot	kind of		unalignable
primock57	day2_consultation02	LATERALITY	um	right		unalignable
primock57	day2_consultation02	LATERALITY	right ok			unalignable
primock57	day2_consultation02	NEGATION_FLIP	no			unalignable
primock57	day2_consultation02	NUMERIC	uh sorry	double check		unalignable
primock57	day2_consultation02	NUMERIC	uh fifty three	53 53 okay		unalignable
primock57	day2_consultation02	NUMERIC	fifty three ok			unalignable
primock57	day2_consultation02	NEGATION_FLIP	not			unalignable
primock57	day2_consultation02	NEGATION_FLIP	no um	you know		unalignable
primock57	day2_consultation02	LATERALITY	medical history yeah right ok ok uh			unalignable
primock57	day2_consultation02	NEGATION_FLIP	no sure and um do you um			unalignable
primock57	day2_consultation02	LATERALITY	uh	right		unalignable
primock57	day2_consultation02	NUMERIC	four	400		unalignable
primock57	day2_consultation02	NUMERIC	hundred			unalignable
primock57	day2_consultation02	NUMERIC	two	three		unalignable
primock57	day2_consultation03	NUMERIC	forty	40		unalignable
primock57	day2_consultation03	NUMERIC	you're	40		unalignable
primock57	day2_consultation03	NUMERIC	forty			unalignable
primock57	day2_consultation03	NEGATION_FLIP	i not that			unalignable
primock57	day2_consultation03	NEGATION_FLIP	nothing			unalignable
primock57	day2_consultation03	NEGATION_FLIP	don't think so			unalignable
primock57	day2_consultation03	NEGATION_FLIP	pardon ohh	don't oh		unalignable
primock57	day2_consultation03	NEGATION_FLIP	no alright ok	okay all right		unalignable
primock57	day2_consultation03	NEGATION_FLIP	yeah so no uh	yes i know i		unalignable
primock57	day2_consultation03	LATERALITY	um	right		unalignable
primock57	day2_consultation03	LATERALITY	ok right	okay okay		unalignable
primock57	day2_consultation04	NUMERIC	god i'm forty five			unalignable
primock57	day2_consultation04	NUMERIC	ok uh and	45 45 okay		unalignable
primock57	day2_consultation04	NUMERIC	uh	15		unalignable
primock57	day2_consultation04	NUMERIC	fifteen			unalignable
primock57	day2_consultation04	NUMERIC	um w	w65 okay		unalignable
primock57	day2_consultation04	NUMERIC	six five that's great ok			unalignable
primock57	day2_consultation04	LATERALITY	right	okay		unalignable
primock57	day2_consultation04	LATERALITY	right ok um			unalignable
primock57	day2_consultation04	NUMERIC	two	your		unalignable
primock57	day2_consultation04	NUMERIC	eleven	11		unalignable
primock57	day2_consultation04	NUMERIC	twelve	12	12	0
primock57	day2_consultation04	NUMERIC	sixty	66	66 to74tible	0
primock57	day2_consultation04	NUMERIC	six		66 to74tible	0
primock57	day2_consultation04	NUMERIC	seventy four	70 fold		unalignable
primock57	day2_consultation04	LATERALITY	right			unalignable
primock57	day2_consultation04	NEGATION_FLIP	no	okay		unalignable
primock57	day2_consultation04	NEGATION_FLIP	no	okay		unalignable
primock57	day2_consultation04	NEGATION_FLIP	i'm gonna not i'm not			unalignable
primock57	day2_consultation04	NUMERIC	forty five forty	45 45 okay		unalignable
primock57	day2_consultation04	NUMERIC	five ok			unalignable
primock57	day2_consultation05	NUMERIC	thirty	32		unalignable
primock57	day2_consultation05	NUMERIC	two			unalignable
primock57	day2_consultation05	NUMERIC	thirty	32		unalignable
primock57	day2_consultation05	NUMERIC	two			unalignable
primock57	day2_consultation05	NUMERIC	thirty	32		unalignable
primock57	day2_consultation05	NUMERIC	two			unalignable
primock57	day2_consultation05	NUMERIC	ab one	ab1 cb2		unalignable
primock57	day2_consultation05	NUMERIC	cb two			unalignable
primock57	day2_consultation05	NUMERIC	few	three		unalignable
primock57	day2_consultation05	LATERALITY	right			unalignable
primock57	day2_consultation05	NUMERIC	seventy	75	75 mg	0
primock57	day2_consultation05	NUMERIC	five		75 mg	0
primock57	day2_consultation05	LATERALITY	right ok	wow okay	wfe kay unintellible	0
primock57	day2_consultation05	NEGATION_FLIP	have	haven't		unalignable
primock57	day2_consultation05	NEGATION_FLIP	that's that's that's not a problem you know you			unalignable
primock57	day2_consultation05	NUMERIC	when they	one day		unalignable
primock57	day2_consultation05	NEGATION_FLIP	isn't a			unalignable
primock57	day2_consultation06	NUMERIC	i am	i'm 27		unalignable
primock57	day2_consultation06	NUMERIC	twenty seven			unalignable
primock57	day2_consultation06	NUMERIC	nineteen ninety	1991 17th		unalignable
primock57	day2_consultation06	NUMERIC	one um seventeenth			unalignable
primock57	day2_consultation06	LATERALITY	right			unalignable
primock57	day2_consultation06	NEGATION_FLIP	i don't	sure sure		unalignable
primock57	day2_consultation06	NEGATION_FLIP	sure sure no			unalignable
primock57	day2_consultation06	NEGATION_FLIP	no	okay		unalignable
primock57	day2_consultation06	NUMERIC	um	two		unalignable
primock57	day2_consultation06	NUMERIC	one of	okay okay		unalignable
primock57	day2_consultation06	NUMERIC	the two ok			unalignable
primock57	day2_consultation06	NEGATION_FLIP	i don't have			unalignable
primock57	day2_consultation06	LATERALITY	right		one	0
primock57	day2_consultation06	NEGATION_FLIP	no			unalignable
primock57	day2_consultation07	NUMERIC	nineteen	1958		unalignable
primock57	day2_consultation07	NUMERIC	fifty eight uh			unalignable
primock57	day2_consultation07	NUMERIC	eighth	8th		unalignable
primock57	day2_consultation07	NUMERIC	fifty	50		unalignable
primock57	day2_consultation07	NUMERIC	fifty	51		unalignable
primock57	day2_consultation07	NUMERIC	one fifty one			unalignable
primock57	day2_consultation07	NUMERIC	sixty	60		unalignable
primock57	day2_consultation07	NUMERIC	six	okay		unalignable
primock57	day2_consultation07	NEGATION_FLIP	not		of nausea not no vomiting but	1
primock57	day2_consultation07	NEGATION_FLIP	not			unalignable
primock57	day2_consultation07	LATERALITY	is	right		unalignable
primock57	day2_consultation07	NEGATION_FLIP	don't worry who's	is there anyone		unalignable
primock57	day2_consultation07	NUMERIC	ten	10		unalignable
primock57	day2_consultation07	NUMERIC	fifteen	15		unalignable
primock57	day2_consultation07	NUMERIC	fifteen	15		unalignable
primock57	day2_consultation07	NUMERIC	sixty	60		unalignable
primock57	day2_consultation07	NUMERIC	sixty	60		unalignable
primock57	day2_consultation07	NUMERIC	around sixty yes	okay all right		unalignable
primock57	day2_consultation07	LATERALITY	right			unalignable
primock57	day2_consultation07	NEGATION_FLIP	ok ok no and um what what uh			unalignable
primock57	day2_consultation07	NUMERIC	double	double-check		unalignable
primock57	day2_consultation08	NUMERIC	second	2nd		unalignable
primock57	day2_consultation08	NUMERIC	um	1992		unalignable
primock57	day2_consultation08	NUMERIC	nineteen ninety two			unalignable
primock57	day2_consultation08	NUMERIC	double check			unalignable
primock57	day2_consultation08	NEGATION_FLIP	uh	no		unalignable
primock57	day2_consultation08	NUMERIC	in	68		unalignable
primock57	day2_consultation08	NUMERIC	his sixties um sixty eight			unalignable
primock57	day2_consultation09	NUMERIC	twelve	12		unalignable
primock57	day2_consultation09	NUMERIC	nineteen	1958		unalignable
primock57	day2_consultation09	NUMERIC	fifty eight			unalignable
primock57	day2_consultation09	NEGATION_FLIP	um mmm no			unalignable
primock57	day2_consultation09	NUMERIC	two	2	type two diabetes and	1
primock57	day2_consultation09	NEGATION_FLIP	uh but don't			unalignable
primock57	day2_consultation10	NUMERIC	sixteenth	16th		unalignable
primock57	day2_consultation10	NUMERIC	nineteen eighty two	1982 that's great		unalignable
primock57	day2_consultation10	NUMERIC	five thirty	5 30ish		unalignable
primock57	day2_consultation10	NUMERIC	seven	7		unalignable
primock57	day2_consultation10	NEGATION_FLIP	i wouldn't say unhealthy			unalignable
primock57	day2_consultation10	LATERALITY	ohh right	that's the	ma	0
primock57	day2_consultation10	NUMERIC	um one	1 5	1 5	0
primock57	day2_consultation10	NUMERIC	point five			unalignable
primock57	day2_consultation10	NUMERIC	two	2	2 l	0
primock57	day3_consultation01	NUMERIC	first	1st		unalignable
primock57	day3_consultation01	NUMERIC	ninety-nine ok	99 okay		unalignable
primock57	day3_consultation01	LATERALITY	yeah right			unalignable
primock57	day3_consultation01	NEGATION_FLIP	i don't	and a		unalignable
primock57	day3_consultation01	NEGATION_FLIP	after	not		unalignable
primock57	day3_consultation01	LATERALITY	i think ok right ok uh			unalignable
primock57	day3_consultation01	NEGATION_FLIP	no ok			unalignable
primock57	day3_consultation01	NEGATION_FLIP	got no i do			unalignable
primock57	day3_consultation01	NUMERIC	six oh you all			unalignable
primock57	day3_consultation01	LATERALITY	ohh i feel a little dizzy right now			unalignable
primock57	day3_consultation01	NEGATION_FLIP	no ok			unalignable
primock57	day3_consultation01	NEGATION_FLIP	yeah ohh no			unalignable
primock57	day3_consultation01	NUMERIC	nine nine			unalignable
primock57	day3_consultation02	NUMERIC	uhh	2112		unalignable
primock57	day3_consultation02	NUMERIC	twenty-one twelve			unalignable
primock57	day3_consultation02	NUMERIC	nineteen	1986		unalignable
primock57	day3_consultation02	NUMERIC	um	nw36pq		unalignable
primock57	day3_consultation02	NUMERIC	nw three six pq			unalignable
primock57	day3_consultation02	NUMERIC	first	us		unalignable
primock57	day3_consultation02	NEGATION_FLIP	i haven't			unalignable
primock57	day3_consultation02	NEGATION_FLIP	not	many		unalignable
primock57	day3_consultation02	NEGATION_FLIP	no no no			unalignable
primock57	day3_consultation02	NEGATION_FLIP	it's not it's	how would it		unalignable
primock57	day3_consultation02	NEGATION_FLIP	it's not	be localized		unalignable
primock57	day3_consultation03	NUMERIC	i'm thirty five years old	30 percent that's going to		unalignable
primock57	day3_consultation03	NEGATION_FLIP	it stopped	it's not		unalignable
primock57	day3_consultation03	NEGATION_FLIP	not	unwell		unalignable
primock57	day3_consultation03	NUMERIC	yeah two twenty nine uh			unalignable
primock57	day3_consultation03	NEGATION_FLIP	you're not		you know you know	0
primock57	day3_consultation03	NEGATION_FLIP	yes no problem ok and uh			unalignable
primock57	day3_consultation03	NEGATION_FLIP	warrant	weren't	we urgently warrant a physical examination at this point in time i think	1
primock57	day3_consultation03	NEGATION_FLIP	at all i haven't	could you repeat that		unalignable
primock57	day3_consultation03	NUMERIC	oh three	old 300		unalignable
primock57	day3_consultation03	NUMERIC	hundred			unalignable
primock57	day3_consultation04	NUMERIC	fourteenth november nineteen ninety six	the 14th of june 1996		unalignable
primock57	day3_consultation04	NUMERIC	twenty eight	28 cricks		unalignable
primock57	day3_consultation04	NUMERIC	sw	s7191ez		unalignable
primock57	day3_consultation04	NUMERIC	nineteen one ez			unalignable
primock57	day3_consultation04	LATERALITY	ok righty-ho	right you		unalignable
primock57	day3_consultation04	LATERALITY	ok right			unalignable
primock57	day3_consultation04	NUMERIC	to three			unalignable
primock57	day3_consultation04	NEGATION_FLIP	no	now		unalignable
primock57	day3_consultation04	NUMERIC	um	380		unalignable
primock57	day3_consultation04	NUMERIC	three eighty			unalignable
primock57	day3_consultation04	NUMERIC	three ok yeah			unalignable
primock57	day3_consultation04	NEGATION_FLIP	ok now	no no		unalignable
primock57	day3_consultation04	NUMERIC	four		four hours but	1
primock57	day3_consultation04	NUMERIC	three	two	two	0
primock57	day3_consultation04	NEGATION_FLIP	no that's thanks			unalignable
primock57	day3_consultation05	NUMERIC	date of	1980 okay		unalignable
primock57	day3_consultation05	NUMERIC	birth um nineteen eighty ok			unalignable
primock57	day3_consultation05	NUMERIC	sw	sw40ng		unalignable
primock57	day3_consultation05	NUMERIC	four zero ng			unalignable
primock57	day3_consultation05	NEGATION_FLIP	i can't			unalignable
primock57	day3_consultation05	NEGATION_FLIP	ok no	okay okay		unalignable
primock57	day3_consultation05	NEGATION_FLIP	no			unalignable
primock57	day3_consultation05	LATERALITY	ok righty-ho ok	right here okay		unalignable
primock57	day3_consultation05	LATERALITY	ok righty-ho	right here		unalignable
primock57	day3_consultation05	NEGATION_FLIP	ok	no		unalignable
primock57	day3_consultation05	NUMERIC	double	develop	develop	0
primock57	day3_consultation05	NUMERIC	ten days	10 days'		unalignable
primock57	day3_consultation06	NEGATION_FLIP	uh not really			unalignable
primock57	day3_consultation06	NUMERIC	uh	61280		unalignable
primock57	day3_consultation06	NUMERIC	six twelve uh eighty			unalignable
