dataset	file_id	error_type	ref_words	hyp_words	fused_words	primary_category	all_categories	fusion_changed_position	fusion_fixed_position	likely_meaning_change	meaning_change_reason
primock57	day1_consultation01	delete	okay			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	yep um			generic		0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	sir these	so you	so you	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	the	simptons	simptons	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	symptoms			SYMPTOM	SYMPTOM	0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	think	things	things	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	um uh			generic		0	0	0	True
primock57	day1_consultation01	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	nothing	think	think	FINDING	FINDING	0	0	1	unclassified
primock57	day1_consultation01	substitute	here	yeah	yeah	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	okay			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	um	right	right	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation01	delete	alright			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	your			generic		0	0	0	True
primock57	day1_consultation01	substitute	fit	fitting	fitting	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	and			generic		0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	athsma	asthma	asthma	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	i			generic		0	0	0	True
primock57	day1_consultation01	substitute	well-controlled	controlled	controlled	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	i	uh	uh	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	day	day-to-day	day-to-day	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	to day			generic		0	0	0	True
primock57	day1_consultation01	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	'cause	because	because	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	okay yeah			generic		0	0	0	True
primock57	day1_consultation01	delete	are you			generic		0	0	0	True
primock57	day1_consultation01	delete	yes			generic		0	0	0	True
primock57	day1_consultation01	substitute	i	um	um	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	er			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	would would work			generic		0	0	0	True
primock57	day1_consultation01	delete	yeah yeah it's been quite difficult			FINDING	FINDING	0	0	0	True
primock57	day1_consultation01	substitute	fine	right	right	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	said	say	say	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	your	a	a	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	alright			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	question	questions	questions	generic		0	0	0	morphology_only
primock57	day1_consultation01	substitute	sir	so	so	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	i			generic		0	0	0	True
primock57	day1_consultation01	delete	um er			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um um but but			generic		0	0	0	True
primock57	day1_consultation01	substitute	sir	so	so	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh um			generic		0	0	0	True
primock57	day1_consultation01	substitute	stool	dual	dual	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	fever and	feeling generally	feeling generally	FINDING	FINDING	0	0	1	unclassified
primock57	day1_consultation01	delete	you're			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	you had	you're having	you're having	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	little	well	well	CONDITION	CONDITION	0	0	1	unclassified
primock57	day1_consultation01	delete	as			generic		0	0	0	True
primock57	day1_consultation01	substitute	wondered	wonder	wonder	generic		0	0	0	morphology_only
primock57	day1_consultation01	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh of your			generic		0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	its	your	your	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	um yeah yeah			generic		0	0	0	True
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	what			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	mm-hmm um			generic		0	0	0	True
primock57	day1_consultation01	substitute	dioralyte	dirolite	dirolite	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	uh it's um			generic		0	0	0	True
primock57	day1_consultation01	substitute	helps replenish	some of	some of	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	say	certainly	certainly	generic		0	0	1	unclassified
primock57	day1_consultation01	substitute	yep	yeah	yeah	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	eh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	yep			generic		0	0	0	True
primock57	day1_consultation01	substitute	will	would	would	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	but			generic		0	0	0	True
primock57	day1_consultation01	delete	the			generic		0	0	0	True
primock57	day1_consultation01	delete	two			generic		0	0	0	True
primock57	day1_consultation01	substitute	infection	pressure	pressure	CONDITION	CONDITION	0	0	1	unclassified
primock57	day1_consultation01	delete	okay yeah um i'll admit			PROCEDURE	PROCEDURE	0	0	0	True
primock57	day1_consultation01	delete	you know			generic		0	0	0	True
primock57	day1_consultation01	delete	in			generic		0	0	0	True
primock57	day1_consultation01	substitute	caused	causing	causing	generic		0	0	0	morphology_only
primock57	day1_consultation01	delete	your			generic		0	0	0	True
primock57	day1_consultation01	delete	yep uh			generic		0	0	0	True
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	substitute	um etcetera	etc yeah	etc yeah	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	etcetera yep			generic		0	0	0	True
primock57	day1_consultation01	substitute	yep	yeah	yeah	generic		0	0	1	unclassified
primock57	day1_consultation01	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation01	delete	no			generic		0	0	0	True
primock57	day1_consultation01	delete	and			generic		0	0	0	True
primock57	day1_consultation01	delete	uh is			generic		0	0	0	True
primock57	day1_consultation01	substitute	uh	yeah	yeah	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation01	delete	yes			generic		0	0	0	True
primock57	day1_consultation01	delete	that's			generic		0	0	0	True
primock57	day1_consultation01	delete	bye			generic		0	0	0	True
primock57	day1_consultation01	delete	bye			generic		0	0	0	True
primock57	day1_consultation02	delete	uh uh			generic		0	0	0	True
primock57	day1_consultation02	delete	it's a bit it's not			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok uh	okay okay	okay okay	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	it's			generic		0	0	0	True
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	my			generic		0	0	0	True
primock57	day1_consultation02	delete	like			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	it's			generic		0	0	0	True
primock57	day1_consultation02	delete	to			generic		0	0	0	True
primock57	day1_consultation02	substitute	i	like	like	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	can			generic		0	0	0	True
primock57	day1_consultation02	substitute	a	the	the	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	i	and	and	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	can't			generic		0	0	0	True
primock57	day1_consultation02	substitute	i	like	like	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	can't			generic		0	0	0	True
primock57	day1_consultation02	delete	on			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	ok i'm	okay sam	okay sam	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	certain			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	get	us	us	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	this			generic		0	0	0	True
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um ok			generic		0	0	0	True
primock57	day1_consultation02	substitute	um	and	and	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	substitute	that's those	but the	but the	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	appear			generic		0	0	0	True
primock57	day1_consultation02	substitute	the	these	these	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	a	like	like	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	uh	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	ok ok			generic		0	0	0	True
primock57	day1_consultation02	delete	a			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	arm but	arms and	arms and	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	in the			generic		0	0	0	True
primock57	day1_consultation02	delete	on the			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	like pretty			generic		0	0	0	True
primock57	day1_consultation02	substitute	weekend	weekends	weekends	generic		0	0	0	morphology_only
primock57	day1_consultation02	substitute	can't	don't	don't	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	because	was	was	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	i			generic		0	0	0	True
primock57	day1_consultation02	substitute	cannot uh	kind of	kind of	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	yes			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	um	and	and	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	have you			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	skins	skin	skin	generic		0	0	0	morphology_only
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	ok you've not haven't	you don't have noticed	you don't have noticed	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh seen			generic		0	0	0	True
primock57	day1_consultation02	substitute	are you	days ago	days ago	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	or	so	so	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	four days ago			generic		0	0	0	True
primock57	day1_consultation02	delete	i			generic		0	0	0	True
primock57	day1_consultation02	substitute	really	very	very	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	delete	i			generic		0	0	0	True
primock57	day1_consultation02	substitute	i cannot um	i'm kind of	i'm kind of	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	cannot	of	of	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	that	and	and	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	your	have	have	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	help			generic		0	0	0	True
primock57	day1_consultation02	delete	mm mm			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	resummarize	re-summarize	re-summarize	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	yeah			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	like			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	yeah	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	am i	in my	in my	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	very	itching	itching	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	itchy	okay	okay	SYMPTOM	SYMPTOM	0	0	1	unclassified
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	your			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	i			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok alright um	okay all right	okay all right	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	disease	this	this	CONDITION	CONDITION	0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	arms	arm	arm	generic		0	0	0	morphology_only
primock57	day1_consultation02	delete	i'm			generic		0	0	0	True
primock57	day1_consultation02	delete	i			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	no	no	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	to	and	and	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	has	it's	it's	generic		0	0	1	unclassified
primock57	day1_consultation02	substitute	would	with	with	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	um yeah uh your your			generic		0	0	0	True
primock57	day1_consultation02	substitute	um	sorry	sorry	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	delete	sorry to say			generic		0	0	0	True
primock57	day1_consultation02	substitute	which	richard	richard	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	i completely forgot my apologies um			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	no	okay	okay	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	like some sorry yeah	was going to say	was going to say	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	sorry i said			generic		0	0	0	True
primock57	day1_consultation02	substitute	that's	sorry	sorry	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	alright			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	uh	cracked	cracked	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	substitute	ohh	oh	oh	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um uh your			generic		0	0	0	True
primock57	day1_consultation02	substitute	at	a	a	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	i'm a			generic		0	0	0	True
primock57	day1_consultation02	substitute	thirty	31	31	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	one uh			generic		0	0	0	True
primock57	day1_consultation02	delete	yeah i'm i			generic		0	0	0	True
primock57	day1_consultation02	substitute	full	full-time	full-time	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	time			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	it's been a			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh it's			generic		0	0	0	True
primock57	day1_consultation02	delete	a			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	to			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	that's			generic		0	0	0	True
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	is			generic		0	0	0	True
primock57	day1_consultation02	substitute	the	a	a	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	can i			generic		0	0	0	True
primock57	day1_consultation02	delete	a few			generic		0	0	0	True
primock57	day1_consultation02	delete	nothing			FINDING	FINDING	0	0	0	True
primock57	day1_consultation02	delete	it's been			generic		0	0	0	True
primock57	day1_consultation02	substitute	ok	okay	okay	filler	filler	0	0	0	filler_to_filler
primock57	day1_consultation02	delete	ok ok			generic		0	0	0	True
primock57	day1_consultation02	substitute	this	the	the	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	sarah	sir	sir	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	it	it's	it's	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	was			generic		0	0	0	True
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	the the			generic		0	0	0	True
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	of a			generic		0	0	0	True
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	ok ok um which	which i want to	which i want to	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	ok uh			generic		0	0	0	True
primock57	day1_consultation02	substitute	the	a	a	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	ok um			generic		0	0	0	True
primock57	day1_consultation02	delete	um			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	loratadine	loratidine	counter things like loratadine or	DRUG	DRUG	1	0	1	unclassified
primock57	day1_consultation02	substitute	piriton	pyritin	pyritin	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	ok			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	delete	uh um			generic		0	0	0	True
primock57	day1_consultation02	substitute	an eczema cu ok yes	i see you okay just	i see you okay just	CONDITION	CONDITION	0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
primock57	day1_consultation02	substitute	ohh	oh	oh	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	that			generic		0	0	0	True
primock57	day1_consultation02	substitute	uh	the	the	filler	filler	0	0	1	unclassified
primock57	day1_consultation02	substitute	but	okay	okay	generic		0	0	1	unclassified
primock57	day1_consultation02	delete	uh			filler	filler	0	0	0	pure_deletion_filler
